#bitsize(pq) p q pq mean
13 41 103 4223 0.030381801014300436
13 41 107 4387 0.029516451992094517
13 41 109 4469 0.034567726019304246
13 41 113 4633 0.028570302005391568
13 41 127 5207 0.009889209002722055
13 43 97 4171 0.0339004080160521
13 43 101 4343 0.02404758200282231
13 43 103 4429 0.012561373005155474
13 43 107 4601 0.031817177950870246
13 43 109 4687 0.018570961023215204
13 43 113 4859 0.01955449301749468
13 43 127 5461 0.016406062990427017
13 47 89 4183 0.02215214300667867
13 47 97 4559 0.013743593008257449
13 47 101 4747 0.013092377979774028
13 47 103 4841 0.008864553994499147
13 47 107 5029 0.009767889976501465
13 47 109 5123 0.011362335993908346
13 47 113 5311 0.008806020952761173
13 47 127 5969 0.009015157003886998
13 53 79 4187 0.009178870008327067
13 53 83 4399 0.029174144961871207
13 53 89 4717 0.03713120199972764
13 53 97 5141 0.031489193032030016
13 53 101 5353 0.008816991990897804
13 53 103 5459 0.00901579501805827
13 53 107 5671 0.009042265999596566
13 53 109 5777 0.008879345026798546
13 53 113 5989 0.029613617982249707
13 53 127 6731 0.008913802972529083
13 59 71 4189 0.03652636596234515
13 59 73 4307 0.03336843801662326
13 59 79 4661 0.008400701044593006
13 59 83 4897 0.0338803930208087
13 59 89 5251 0.013467609998770058
13 59 97 5723 0.00830129801761359
13 59 101 5959 0.03194608597550541
13 59 103 6077 0.028334308008197695
13 59 107 6313 0.013442988973110914
13 59 109 6431 0.033389169024303555
13 59 113 6667 0.00829602696467191
13 59 127 7493 0.012601489026565105
13 61 71 4331 0.009625648963265121
13 61 73 4453 0.030440109956543893
13 61 79 4819 0.009335848968476057
13 61 83 5063 0.012788850988727063
13 61 89 5429 0.013095203961711377
13 61 97 5917 0.012488845037296414
13 61 101 6161 0.03325141698587686
13 61 103 6283 0.013880860002245754
13 61 107 6527 0.0130447429837659
13 61 109 6649 0.02182876004371792
13 61 113 6893 0.01363766798749566
13 61 127 7747 0.012983182037714869
13 67 67 4489 0.012720676022581756
13 67 71 4757 0.040060358005575836
13 67 73 4891 0.012303818017244339
13 67 79 5293 0.01359215599950403
13 67 83 5561 0.008236699970439076
13 67 89 5963 0.009867708024103194
13 67 97 6499 0.012776365038007498
13 67 101 6767 0.012251997017301619
13 67 103 6901 0.013316911004949361
13 67 107 7169 0.012321659014560282
13 67 109 7303 0.036594567995052785
13 67 113 7571 0.013032527989707887
13 71 71 5041 0.009773108002264053
13 71 73 5183 0.028249363997019827
13 71 79 5609 0.03561406803783029
13 71 83 5893 0.029407617985270917
13 71 89 6319 0.01674786803778261
13 71 97 6887 0.008680052997078747
13 71 101 7171 0.03239283000584692
13 71 103 7313 0.008930690994020551
13 71 107 7597 0.008500184048898518
13 71 109 7739 0.008686285000294447
13 71 113 8023 0.009527619055006653
13 73 73 5329 0.008227206009905785
13 73 79 5767 0.008309357974212617
13 73 83 6059 0.008286772994324565
13 73 89 6497 0.02924325002823025
13 73 97 7081 0.00817077502142638
13 73 101 7373 0.012652444012928754
13 73 103 7519 0.012453903967980295
13 73 107 7811 0.03704349300824106
13 73 109 7957 0.008223797951359302
13 79 79 6241 0.009754217986483127
13 79 83 6557 0.009925056016072631
13 79 89 7031 0.008369058021344244
13 79 97 7663 0.03769419796299189
13 79 101 7979 0.00953651499003172
13 79 103 8137 0.008712743001524359
13 83 83 6889 0.009472848963923752
13 83 89 7387 0.008798606984782964
13 83 97 8051 0.009056871000211686
13 89 89 7921 0.009870498033706099
14 67 127 8509 0.010531580948736519
14 67 131 8777 0.013124382006935775
14 67 137 9179 0.012943390000145882
14 67 139 9313 0.012665070011280477
14 67 151 10117 0.03180440701544285
14 67 157 10519 0.032803370035253465
14 67 181 12127 0.010006925964262336
14 67 191 12797 0.038623608998022974
14 67 193 12931 0.008605765004176646
14 67 197 13199 0.00891517399577424
14 67 223 14941 0.0183420890243724
14 67 227 15209 0.015436707995831966
14 67 229 15343 0.009864641004242003
14 67 233 15611 0.008694178948644549
14 67 239 16013 0.008898231026250869
14 67 241 16147 0.009588579996488988
14 71 131 9301 0.010005621006712317
14 71 137 9727 0.0100849189911969
14 71 149 10579 0.009077269991394132
14 71 151 10721 0.01661160698859021
14 71 157 11147 0.016584680997766554
14 71 167 11857 0.014684884052257985
14 71 179 12709 0.025095649005379528
14 71 181 12851 0.010372573975473642
14 71 199 14129 0.009767478972207755
14 71 227 16117 0.01436701399507001
14 73 113 8249 0.02239254501182586
14 73 127 9271 0.014628223958425224
14 73 131 9563 0.009315235016401857
14 73 139 10147 0.00810613704379648
14 73 151 11023 0.012659806001465768
14 73 157 11461 0.01562607300002128
14 73 163 11899 0.008303251001052558
14 73 167 12191 0.009012009017169476
14 73 181 13213 0.02073220000602305
14 73 191 13943 0.012980960018467158
14 73 193 14089 0.013038125005550683
14 73 197 14381 0.017867459973786026
14 73 199 14527 0.01549884700216353
14 73 211 15403 0.020797357021365315
14 73 223 16279 0.02213384595233947
14 79 107 8453 0.013245053996797651
14 79 109 8611 0.018639324000105262
14 79 113 8927 0.023038171988446265
14 79 127 10033 0.020145801012404263
14 79 137 10823 0.022931494982913136
14 79 139 10981 0.021931262977886945
14 79 149 11771 0.01847931504016742
14 79 157 12403 0.021805358002893627
14 79 163 12877 0.015442806005012244
14 79 167 13193 0.01017101900652051
14 79 191 15089 0.01883835397893563
14 79 197 15563 0.009429074008949101
14 79 199 15721 0.025648752984125167
14 83 103 8549 0.01854612398892641
14 83 107 8881 0.0157866440131329
14 83 109 9047 0.014634361024945974
14 83 113 9379 0.009775693994015455
14 83 127 10541 0.024046526988968253
14 83 149 12367 0.013403246994130313
14 83 157 13031 0.017054373980499804
14 83 173 14359 0.01307760801864788
14 83 179 14857 0.008633976976852864
14 83 181 15023 0.01742973498767242
14 83 193 16019 0.030608572997152805
14 89 101 8989 0.01757110096514225
14 89 103 9167 0.009896628966089338
14 89 107 9523 0.008859260007739067
14 89 131 11659 0.03332577599212527
14 89 149 13261 0.03684149100445211
14 89 151 13439 0.009897876007016748
14 89 157 13973 0.008237062022089958
14 89 163 14507 0.008703332976438105
14 97 97 9409 0.01996529899770394
14 97 103 9991 0.014296666020527482
14 97 107 10379 0.014474099967628717
14 97 127 12319 0.009130973019637167
14 97 137 13289 0.013516671024262905
14 97 139 13483 0.008380718994885683
14 97 149 14453 0.008403616957366467
14 97 151 14647 0.027790380001533777
14 97 157 15229 0.008757050964049995
14 97 163 15811 0.009958731010556221
14 101 107 10807 0.0096987210563384
14 101 127 12827 0.008714675961527973
14 101 137 13837 0.008786495018284768
14 101 139 14039 0.015983562043402344
14 101 149 15049 0.009597794967703521
14 103 107 11021 0.012838765978813171
14 103 113 11639 0.013523160014301538
14 103 151 15553 0.01917477499227971
14 103 157 16171 0.013642273028381169
14 107 107 11449 0.018797005992382765
14 107 127 13589 0.016466060013044626
14 107 137 14659 0.019615115015767515
14 109 109 11881 0.010041987989097834
14 109 113 12317 0.016581649018917233
14 109 149 16241 0.01402745902305469
14 113 127 14351 0.009158779983408749
14 113 139 15707 0.008713382005225867
15 67 251 16817 0.03670862701255828
15 73 229 16717 0.009517313970718533
15 79 227 17933 0.009478161984588951
15 79 229 18091 0.00932461698539555
15 79 239 18881 0.009740470966789871
15 79 241 19039 0.034281170985195786
15 83 199 16517 0.03628780698636547
15 83 211 17513 0.014576391025912017
15 83 233 19339 0.008850687008816749
15 89 191 16999 0.008665637986268848
15 89 193 17177 0.037663119030185044
15 89 211 18779 0.009464721020776778
15 89 233 20737 0.032926357991527766
15 97 179 17363 0.03826165001373738
15 97 181 17557 0.03625218500383198
15 97 191 18527 0.010285928030498326
15 97 197 19109 0.014213470043614507
15 97 251 24347 0.013843433000147343
15 101 173 17473 0.015591165982186794
15 101 191 19291 0.014025957963895053
15 101 193 19493 0.015147282043471932
15 101 199 20099 0.009570200985763222
15 101 233 23533 0.008770660031586885
15 101 239 24139 0.009583351959008723
15 103 167 17201 0.0105447790119797
15 103 181 18643 0.03471447399351746
15 103 197 20291 0.010798691015224904
15 103 239 24617 0.016004920995328575
15 107 223 23861 0.014751715993043035
15 107 227 24289 0.01334240601863712
15 107 239 25573 0.015214458981063217
15 109 179 19511 0.015498034015763551
15 109 227 24743 0.014335270039737225
15 109 233 25397 0.010080009000375867
15 113 149 16837 0.034451720013748854
15 113 181 20453 0.009425985044799745
15 113 197 22261 0.010707620007451624
15 113 229 25877 0.01596019195858389
15 113 233 26329 0.034908417030237615
15 113 241 27233 0.02981274895137176
15 113 251 28363 0.013784351001959294
15 127 149 18923 0.010612286976538599
15 127 163 20701 0.009561713028233498
15 127 173 21971 0.037431937002111226
15 127 179 22733 0.010235516994725913
15 127 191 24257 0.03690513898618519
15 127 193 24511 0.014003526011947542
15 127 211 26797 0.034518011030741036
15 127 223 28321 0.009369532985147089
15 127 233 29591 0.01628597901435569
15 127 241 30607 0.03619724401505664
15 131 149 19519 0.01112305000424385
15 131 157 20567 0.016407324990723282
15 131 173 22663 0.014872223953716457
15 131 181 23711 0.010378669016063213
15 131 191 25021 0.03332256595604122
15 131 193 25283 0.00887252698885277
15 131 197 25807 0.00939199299318716
15 131 199 26069 0.009846200002357364
15 131 211 27641 0.01162732596276328
15 131 227 29737 0.009112747036851943
15 137 139 19043 0.008665603992994875
15 137 151 20687 0.009973042004276067
15 137 157 21509 0.02194663300178945
15 137 163 22331 0.013534514990169555
