#bitsize(pq) p q pq median
13 53 127 6731 0.002860037999198539
13 59 71 4189 0.0026984594987879973
13 59 73 4307 0.0028744449991791043
13 59 79 4661 0.002942660001281183
13 59 83 4897 0.0026718364970292896
13 59 89 5251 0.0027549149963306263
13 59 97 5723 0.0027756559975387063
13 59 101 5959 0.0027886069983651396
13 59 103 6077 0.002894933000789024
13 59 107 6313 0.003017190501850564
13 59 109 6431 0.00270262650155928
13 59 113 6667 0.0028106764984840993
13 59 127 7493 0.00284140200164984
13 61 71 4331 0.003012033997947583
13 61 73 4453 0.0026935295027215034
13 61 79 4819 0.002674917490367079
13 61 83 5063 0.0029188570042606443
13 61 89 5429 0.0026784404981299303
13 61 97 5917 0.0021106445019540843
13 61 101 6161 0.0029521579963329714
13 61 103 6283 0.002788839497952722
13 61 107 6527 0.0029375369995250367
13 61 109 6649 0.0025661745021352544
13 61 113 6893 0.002834619997884147
13 61 127 7747 0.0027495500035001896
13 67 67 4489 0.0029008495002926793
13 67 71 4757 0.002881062500819098
13 67 73 4891 0.002738552499067737
13 67 79 5293 0.0031178044991975185
13 67 83 5561 0.0027682059990183916
13 67 89 5963 0.0027435974989202805
13 67 97 6499 0.0026967099984176457
13 67 101 6767 0.0028574544958246406
13 67 103 6901 0.001909047998196911
13 67 107 7169 0.0028428044970496558
13 67 109 7303 0.002828539498295868
13 67 113 7571 0.00251540550016216
13 71 71 5041 0.0030509040043398272
13 71 73 5183 0.0027775760026997887
13 71 79 5609 0.00289750050069415
13 71 83 5893 0.0026943235025100876
13 71 89 6319 0.002828093001880916
13 71 97 6887 0.002618396498291986
13 71 101 7171 0.001986671497434145
13 71 103 7313 0.0025654220007709228
13 71 107 7597 0.002764751003269339
13 71 109 7739 0.0029926565002824645
13 71 113 8023 0.002724357498664176
13 73 73 5329 0.0030910315035725944
13 73 79 5767 0.0029292904982867185
13 73 83 6059 0.0028355860013107304
13 73 89 6497 0.0030925174978619907
13 73 97 7081 0.0027749430046242196
13 73 101 7373 0.002497232497262303
13 73 103 7519 0.0027891544996236917
13 73 107 7811 0.002949168501800159
13 73 109 7957 0.002997440500621451
13 79 79 6241 0.003173967998009175
13 79 83 6557 0.0027536429988685995
13 79 89 7031 0.0026879119941440877
13 79 97 7663 0.0026143334980588406
13 79 101 7979 0.0029388840011961292
13 79 103 8137 0.0029092599979776423
13 83 83 6889 0.0029614479972224217
13 83 89 7387 0.0029609130033350084
13 83 97 8051 0.0028763469999830704
13 89 89 7921 0.0031640039997000713
14 67 127 8509 0.003261981997638941
14 67 131 8777 0.003721689005033113
14 67 137 9179 0.0035118839987262618
14 67 139 9313 0.0035573995010054205
14 67 151 10117 0.0034383224992780015
14 67 157 10519 0.0029901724992669187
14 67 181 12127 0.0034274905010533985
14 67 191 12797 0.0032249934993160423
14 67 193 12931 0.003287160499894526
14 67 197 13199 0.003441027998633217
14 67 223 14941 0.0030657985007565003
14 67 227 15209 0.0034729899998637848
14 67 229 15343 0.003201857500243932
