#bitsize(pq) p q pq mean
13 67 79 5293 0.0022821824066340925
13 67 83 5561 0.003937104798387736
13 67 89 5963 0.002403111010789871
13 67 97 6499 0.0029321949928998946
13 67 101 6767 0.0020338529953733086
13 67 103 6901 0.0036093258066102864
13 67 107 7169 0.002582700992934406
13 67 109 7303 0.002465378784108907
13 67 113 7571 0.00272804960841313
13 71 71 5041 0.0024366318248212337
13 71 73 5183 0.0023963449872098862
13 71 79 5609 0.002859874605201185
13 71 83 5893 0.003939556609839201
13 71 89 6319 0.0036604086053557694
13 71 97 6887 0.003125731600448489
13 71 101 7171 0.003714612813200802
13 71 103 7313 0.0029071983881294727
13 71 107 7597 0.0028480359935201703
13 71 109 7739 0.0026966620003804564
13 71 113 8023 0.0020048486068844793
13 73 73 5329 0.0029241844196803866
13 73 79 5767 0.0019767156103625894
13 73 83 6059 0.0018549926113337277
13 73 89 6497 0.0023696283926256
13 73 97 7081 0.0019234363920986653
13 73 101 7373 0.0033080986002460124
13 73 103 7519 0.002421727601904422
13 73 107 7811 0.0024024019949138165
13 73 109 7957 0.002109510381706059
13 79 79 6241 0.002798631810583174
13 79 83 6557 0.0024501727893948555
13 79 89 7031 0.0036903709988109767
13 79 97 7663 0.0030915887909941375
13 79 101 7979 0.004748422012198716
13 79 103 8137 0.0033302941941656173
13 83 83 6889 0.002220725000370294
13 83 89 7387 0.002068095398135483
13 83 97 8051 0.002814820606727153
13 89 89 7921 0.0031103005865588786
14 67 127 8509 0.004381853388622403
14 67 131 8777 0.003257785621099174
14 67 137 9179 0.004337976616807282
14 67 139 9313 0.0031812348053790627
14 67 151 10117 0.0031269632163457572
14 67 157 10519 0.003715122793801129
14 67 181 12127 0.003658705996349454
14 67 191 12797 0.0040691577945835885
14 67 193 12931 0.0042203317978419365
14 67 197 13199 0.00250095899682492
14 67 223 14941 0.002672230394091457
14 67 227 15209 0.0049102699966169895
14 67 229 15343 0.0027601281995885073
14 67 233 15611 0.003319138183724135
14 67 239 16013 0.0026210060226731003
14 67 241 16147 0.004118832817766815
14 71 131 9301 0.0018842904246412218
14 71 137 9727 0.0032269539893604814
14 71 149 10579 0.0016878279973752796
14 71 151 10721 0.003231568611226976
14 71 157 11147 0.0033529788022860886
14 71 167 11857 0.0026264855870977042
14 71 179 12709 0.00237818481400609
14 71 181 12851 0.0030912710120901466
14 71 199 14129 0.002890738390851766
14 71 227 16117 0.0028343770070932807
14 73 113 8249 0.0029255448025651276
14 73 127 9271 0.0018622253905050457
14 73 131 9563 0.0020442718174308538
14 73 139 10147 0.002549499797169119
14 73 151 11023 0.003110590798314661
14 73 157 11461 0.004098366410471499
14 73 163 11899 0.003535003599245101
14 73 167 12191 0.004596580401994288
14 73 181 13213 0.0028388828155584632
14 73 191 13943 0.003468536399304867
14 73 193 14089 0.0031911907834000887
14 73 197 14381 0.0033226768020540474
14 73 199 14527 0.003186647198162973
14 73 211 15403 0.0032053849892690776
14 73 223 16279 0.0033067029784433545
14 79 107 8453 0.002505175000987947
14 79 109 8611 0.002436133997980505
14 79 113 8927 0.002240430598612875
14 79 127 10033 0.0029579658177681266
14 79 137 10823 0.0024742360110394657
14 79 139 10981 0.0031270722043700515
14 79 149 11771 0.0027839662041515114
14 79 157 12403 0.003266075986903161
14 79 163 12877 0.003844627400394529
14 79 167 13193 0.0038085686159320177
14 79 191 15089 0.003672987408936024
14 79 197 15563 0.0029888964025303723
14 79 199 15721 0.0019940870231948795
14 83 103 8549 0.003147283208090812
14 83 107 8881 0.0019019940053112804
14 83 109 9047 0.0017374721937812865
14 83 113 9379 0.0018071329803206026
14 83 127 10541 0.0016405449947342276
14 83 149 12367 0.0019950527930632234
14 83 157 13031 0.0033327164012007414
14 83 173 14359 0.0031771968118846417
14 83 179 14857 0.0042986890068277715
