#bitsize(pq) p q pq std
15 127 191 24257 0.0009707064527105763
15 127 193 24511 0.001386135231957881
15 127 211 26797 0.00044400086852893373
15 127 223 28321 0.0017545844564136916
15 127 233 29591 0.0004915982968697631
15 127 241 30607 0.0003619186315062146
15 131 149 19519 0.000655706667003379
15 131 157 20567 0.0009485571862393544
15 131 173 22663 0.000667397555476746
15 131 181 23711 0.0007778326573823121
15 131 191 25021 0.0005548631369801625
15 131 193 25283 0.000788543240951921
15 131 197 25807 0.0020967532720251075
15 131 199 26069 0.0009574301742967853
15 131 211 27641 0.0010075566585485503
15 131 227 29737 0.0004410603806469066
15 137 139 19043 0.0011462880091239157
15 137 151 20687 0.00023726065921016173
15 137 157 21509 0.0008786391243434914
15 137 163 22331 0.0005773326058004713
15 137 229 31373 0.001074111742201784
15 137 233 31921 0.0009716445764196071
15 139 139 19321 0.0011985596060630755
15 139 157 21823 0.000539323777855097
15 139 163 22657 0.0008764545179714995
15 139 173 24047 0.0005580789994093766
15 139 179 24881 0.0015504934587259242
15 139 181 25159 0.0007054097671031591
15 139 199 27661 0.0022941512342794295
15 139 211 29329 0.0013863929805588795
15 139 227 31553 0.000807327024443761
15 139 229 31831 0.0004756857124409566
15 139 233 32387 0.0003647340718613802
15 149 157 23393 0.0007773585559829119
15 149 163 24287 0.001090888735528006
15 149 173 25777 0.0007664403312102944
15 149 179 26671 0.0005206804625386577
15 149 181 26969 0.0008691148996086481
15 149 197 29353 0.0008824673121968666
15 149 199 29651 0.0009823067093999247
15 149 211 31439 0.0006819121294242798
15 151 179 27029 0.0009991975477678548
15 151 181 27331 0.0006029807950482715
15 151 211 31861 0.0004930206633377553
15 157 163 25591 0.0009294687022630029
15 157 179 28103 0.0007492722928738633
15 157 181 28417 0.0007555511975581028
15 157 191 29987 0.0010745272139037418
15 157 197 30929 0.0007937386592448336
15 157 199 31243 0.0009449995054787476
15 163 179 29177 0.0010692890094570523
15 163 197 32111 0.0017082969979183196
15 163 199 32437 0.0004234763114474934
15 167 173 28891 0.0012678547616972514
15 167 181 30227 0.001886888439275937
16 131 251 32881 0.0022455207045748754
16 131 257 33667 0.0013609453459464712
16 131 263 34453 0.0010331521880917755
16 131 269 35239 0.0015147926841381125
16 131 311 40741 0.001498312271126177
16 131 359 47029 0.0010987716285331469
16 131 373 48863 0.0012268792620906282
16 131 401 52531 0.0017184114383458496
16 131 419 54889 0.0008022714214976713
16 131 487 63797 0.0008642716383198921
16 137 271 37127 0.0013197160455390964
16 137 281 38497 0.0027102761182398755
16 137 293 40141 0.0010218094562187549
16 137 313 42881 0.002065575456019221
16 137 331 45347 0.0013325911965819054
16 137 349 47813 0.0011917663687251907
16 137 373 51101 0.00168666379323008
16 137 389 53293 0.0018099022626321337
16 137 431 59047 0.0009711651429536938
16 137 439 60143 0.0019223615691379091
16 139 241 33499 0.0007799562078277726
16 139 257 35723 0.0010298455714550462
16 139 263 36557 0.0009016757232084093
16 139 293 40727 0.0015756022923890268
16 139 317 44063 0.001504011646507828
16 139 353 49067 0.0008049342029779897
16 139 359 49901 0.00190530748781823
16 139 383 53237 0.0013574053948810297
16 149 241 35909 0.0006433767982188671
16 149 251 37399 0.0009890520322444318
16 149 257 38293 0.000984704045378159
16 149 311 46339 0.001137816311947001
16 149 349 52001 0.0015722512173429563
16 149 379 56471 0.0007551245172364348
16 149 389 57961 0.0008479518471889993
16 149 421 62729 0.0017667422314528501
16 149 439 65411 0.0009521980877360482
16 151 271 40921 0.0016363401595121225
16 151 283 42733 0.0028449265119479027
16 151 307 46357 0.001210999659779753
16 151 313 47263 0.0003689780426245687
16 151 337 50887 0.0009904242889107846
16 151 347 52397 0.0008723277174183533
16 151 433 65383 0.0013036089975222293
16 157 251 39407 0.0007458452438183404
16 157 263 41291 0.0012454267528041111
16 157 277 43489 0.001115984793689059
16 157 311 48827 0.001037221659914823
16 157 347 54479 0.0007576931428530873
16 157 389 61073 0.001076116158907372
16 167 199 33233 0.0009144119051571405
16 167 233 38911 0.000971982924504637
16 167 239 39913 0.0007922580134566743
16 167 293 48931 0.0014969490315747958
16 167 307 51269 0.0019335464727197862
16 167 379 63293 0.0005399859610820376
16 179 193 34547 0.0007378712845842575
16 179 227 40633 0.0009687965277828445
16 179 229 40991 0.00138893743352593
16 179 241 43139 0.0014450155853907283
16 179 349 62471 0.00157356695117907
16 181 199 36019 0.0009407342104547915
16 181 227 41087 0.0007855148649282628
16 181 307 55567 0.0006298548043230859
16 181 347 62807 0.00044272605906785006
16 191 199 38009 0.0008457237064091088
16 191 257 49087 0.0007092440321585161
16 191 269 51379 0.0016180583172619941
16 191 317 60547 0.0007272745624044837
16 191 331 63221 0.0011088879788105153
16 193 211 40723 0.0010868074833492941
16 193 233 44969 0.0011289593091739385
16 193 271 52303 0.0009531104753265194
16 193 281 54233 0.0014335160567335253
16 193 283 54619 0.0010541789867744753
16 193 293 56549 0.0006344392439857319
16 193 311 60023 0.00044756664131085917
16 193 317 61181 0.0008963533571021054
16 197 211 41567 0.00033132253278870866
16 197 269 52993 0.002952132200783771
16 197 277 54569 0.0015262454890266053
16 199 211 41989 0.00037612248977027176
16 199 229 45571 0.0005344611083312498
16 199 239 47561 0.0008175418884912891
16 199 263 52337 0.0006338667333397718
16 211 227 47897 0.000576133350090572
16 211 257 54227 0.001367960375894292
16 211 271 57181 0.0007568312929827221
16 211 293 61823 0.0007911187269284614
16 223 263 58649 0.0005854629294966093
16 227 227 51529 0.0028540408002064666
16 227 233 52891 0.002034394974406891
16 227 251 56977 0.0013657927534896624
16 229 251 57479 0.0009831051088964415
16 229 257 58853 0.0016676382791069864
16 229 271 62059 0.0008932666703802644
16 233 263 61279 0.00046047081207642107
16 233 281 65473 0.0012261021637878726
16 241 251 60491 0.0009067825266852733
16 241 263 63383 0.0006733117290808522
17 137 487 66719 0.00046685501982646275
17 139 509 70751 0.0015697997021879493
17 149 463 68987 0.0018708661379363755
17 149 509 75841 0.0022832781664126425
17 151 461 69611 0.0017630978034459351
17 151 491 74141 0.0005835951256202337
17 157 419 65783 0.0006875454448262983
17 157 439 68923 0.0013910574841739976
17 157 487 76459 0.0020594829454393454
17 163 421 68623 0.001101698857075423
17 163 439 71557 0.0015367933307561925
17 163 461 75143 0.0017590379584687423
17 167 439 73313 0.0018228040029849156
17 167 443 73981 0.0008983329009934284
17 173 419 72487 0.0007026833016006941
17 173 449 77677 0.0015377838695212888
17 179 373 66767 0.0025927893235938517
17 179 457 81803 0.001364876568697786
17 181 367 66427 0.002443374693734497
17 181 397 71857 0.000982284484753439
17 181 409 74029 0.0019990793012338755
17 181 487 88147 0.0010776084031511469
17 191 401 76591 0.0019223656523903042
17 191 443 84613 0.0013805726954468258
17 191 503 96073 0.002307446359492678
17 193 347 66971 0.0012903091901655943
17 193 419 80867 0.000999191012531538
17 193 503 97079 0.001495179792015543
17 197 337 66389 0.0013233529069722407
17 197 359 70723 0.0018737788037480818
17 197 439 86483 0.0015204256113129796
17 199 401 79799 0.001302583205536478
17 199 409 81391 0.0009038741843771008
17 199 463 92137 0.0008991709481853869
17 211 317 66887 0.00372143077154228
17 211 337 71107 0.0013873306524823858
17 211 347 73217 0.001058215193790735
17 211 461 97271 0.002011361109914752
17 211 499 105289 0.0031768254016847986
17 223 353 78719 0.0008900888710443042
17 223 457 101911 0.001349790071908479
17 223 479 106817 0.0017877168795075375
17 223 499 111277 0.0018704377786310851
17 227 313 71051 0.0010277899707016236
17 227 353 80131 0.0006441778277638171
17 227 359 81493 0.0014979287691949809
17 227 499 113273 0.001587404144687594
17 229 313 71677 0.0008529072719106049
17 229 397 90913 0.003242558115507046
17 229 457 104653 0.0014663056680992547
17 233 347 80851 0.0015658053110269312
17 233 397 92501 0.0012349585515800186
17 233 461 107413 0.0014685227856075277
17 239 347 82933 0.00190213935235945
17 239 421 100619 0.0014790483802408973
17 239 467 111613 0.002104333683104478
17 241 313 75433 0.001227564263431226
17 241 337 81217 0.0013939053366471268
17 241 373 89893 0.0017725298943110422
17 241 383 92303 0.0013082884930128178
17 241 463 111583 0.0019136561299003831
17 251 311 78061 0.00030275030720176995
17 251 373 93623 0.002872369320260972
17 251 401 100651 0.001103312200012477
17 251 419 105169 0.0007331230888542516
17 251 467 117217 0.0008265170756724626
17 257 317 81469 0.0029186328582215975
17 257 347 89179 0.0015670228056587389
17 257 349 89693 0.0016319179728002569
17 257 359 92263 0.0014088484481500632
17 263 331 87053 0.0017241514433391936
17 263 421 110723 0.0006640127258199443
17 269 311 83659 0.0009582052837979897
17 269 349 93881 0.0013743338978695655
17 269 373 100337 0.0011244505714671556
17 269 463 124547 0.001180157233883373
17 269 479 128851 0.0018804498096177816
17 269 487 131003 0.00030960713327698563
17 271 379 102709 0.0024603459830197212
17 271 397 107587 0.004185837911181036
17 277 337 93349 0.0011797861289001717
17 277 409 113293 0.0012702250697072695
17 277 421 116617 0.0016841364032645467
17 281 439 123359 0.0008071183490852777
17 283 283 80089 0.0020207496327759034
17 283 439 124237 0.0014877595689743717
17 283 457 129331 0.0013321932137948748
17 293 293 85849 0.0027021045040387373
17 293 307 89951 0.0014979350393955887
17 293 317 92881 0.0020651071658341195
17 293 373 109289 0.0020624984345817493
17 293 397 116321 0.002865755463796081
17 293 409 119837 0.0009571072087037419
17 307 317 97319 0.0008094999818450048
17 307 373 114511 0.002751116325053694
17 307 421 129247 0.0013149232729914877
17 311 389 120979 0.002802900397141074
17 311 419 130309 0.002723782596259873
17 331 347 114857 0.0015834838156235586
17 347 367 127349 0.0010730174858596467
18 257 617 158569 0.001945602872070253
18 257 647 166279 0.0022353671345124366
18 257 809 207913 0.0029458735235977267
18 263 499 131237 0.000884038272861183
18 263 613 161219 0.0032759252752814013
18 263 619 162797 0.0017430809916392184
18 263 631 165953 0.0013195117306691961
18 269 821 220849 0.0027055469513840615
18 269 967 260123 0.0020551421675937247
18 271 601 162871 0.0016326004138646668
18 271 661 179131 0.0022143622814606084
18 271 829 224659 0.0019083584638452103
18 271 857 232247 0.0036825774423684524
18 271 859 232789 0.0031950452291562106
18 277 547 151519 0.0019683162063619756
18 277 599 165923 0.0013110672755331039
18 277 643 178111 0.0019398973812946806
18 277 719 199163 0.003100737888045317
18 277 761 210797 0.0030231843545496027
18 277 787 217999 0.0016722239164349074
18 277 811 224647 0.0030126262370925006
18 277 829 229633 0.0022593571480912624
18 277 919 254563 0.001694752813736825
18 281 523 146963 0.002122685523486149
18 281 631 177311 0.0013925589408235735
18 281 727 204287 0.0007789467009223247
18 283 691 195553 0.001232841080766898
18 283 739 209137 0.0015943687085186982
18 283 797 225551 0.0013604739219892136
18 283 827 234041 0.0034413892632767333
18 293 521 152653 0.0036606403518111815
18 293 523 153239 0.003548506103324913
18 293 593 173749 0.0020926642405683826
18 293 877 256961 0.0013330541931921057
18 307 607 186349 0.0030514081645501997
18 307 653 200471 0.002913653297364082
18 307 839 257573 0.002625963529126404
18 307 853 261871 0.002114723803879487
18 311 433 134663 0.0020468931827664566
18 311 439 136529 0.0012053594501909746
18 311 491 152701 0.0029613958929927543
18 311 757 235427 0.0014359362397014838
18 311 811 252221 0.003719200998588464
18 313 659 206267 0.0018886260342584542
18 313 733 229429 0.002381802615454415
18 317 433 137261 0.002755496524156668
18 317 479 151843 0.0029467513997417805
18 317 547 173399 0.00170817535275457
18 317 683 216511 0.0020505710840400646
18 317 727 230459 0.0003810242852336633
18 317 769 243773 0.00338027939621714
18 317 811 257087 0.002659184502725798
18 331 499 165169 0.00438994348085474
18 331 619 204889 0.0020627294809686236
18 331 701 232031 0.0028263676584176184
18 337 419 141203 0.0018226324310718772
18 337 443 149291 0.003231196771791915
18 337 599 201863 0.002327583544348305
18 337 709 238933 0.0018656098818021825
18 337 733 247021 0.001342432946427381
18 337 773 260501 0.002946605853595633
18 347 419 145393 0.0018755723270474653
18 347 571 198137 0.0036057595247675645
18 347 683 237001 0.0019690230096511847
18 349 379 132271 0.0036172296045787152
18 359 617 221503 0.0004633763954859926
18 359 659 236581 0.004006169850703583
18 367 643 235981 0.001548709745084824
18 367 683 250661 0.0016023792874090299
18 373 389 145097 0.002812238009361436
18 373 683 254759 0.002903231247395368
18 379 389 147431 0.0022621550631749003
18 379 397 150463 0.002524654027300786
18 379 439 166381 0.0026453439670055226
18 383 421 161243 0.005000606806024548
18 383 457 175031 0.0017780105101041228
18 389 521 202669 0.004353600630247099
18 397 571 226687 0.0027165349169179964
18 397 617 244949 0.0036920632116180336
18 401 467 187267 0.0034460080552688867
18 401 569 228169 0.0025850929952563346
18 409 523 213907 0.0027297021452115594
18 409 571 233539 0.0041041639162613455
18 419 461 193159 0.0019055513614346829
18 421 509 214289 0.001772492818587452
18 421 523 220183 0.0019508201822442041
18 421 619 260599 0.002120452129172164
18 431 463 199553 0.00468052936375024
18 431 571 246101 0.0031425321210514215
18 433 463 200479 0.002278413157374041
18 433 509 220397 0.0023491721863724644
18 439 479 210281 0.003435748876520241
18 443 521 230803 0.004137332566466944
18 449 487 218663 0.0015540641241272098
18 449 569 255481 0.002972566239750521
18 461 487 224507 0.002533564671550105
18 467 523 244241 0.0027110251284680896
18 467 541 252647 0.0028501597355196405
18 487 523 254701 0.00225293612088389
18 499 523 260977 0.0012702899133434525
19 263 997 262211 0.002589995616554395
19 277 977 270629 0.003878994285695164
19 307 919 282133 0.0031114068762488557
