#bitsize(pq) p q pq min
15 149 199 29651 0.0015082750032888725
15 149 211 31439 0.0015046170010464266
15 151 179 27029 0.0016179449958144687
15 151 181 27331 0.0015640509955119342
15 151 211 31861 0.001481830004195217
15 157 163 25591 0.0014697320002596825
15 157 179 28103 0.0014356929968926124
15 157 181 28417 0.0014699060047860257
15 157 191 29987 0.0014899760062689893
15 157 197 30929 0.0017745910008670762
15 157 199 31243 0.0014665380003862083
15 163 179 29177 0.0015243899979395792
15 163 197 32111 0.0014819389980402775
15 163 199 32437 0.0016226369989453815
15 167 173 28891 0.001507465000031516
15 167 181 30227 0.0014363170048454776
16 131 251 32881 0.0016409380041295663
16 131 257 33667 0.0015885480024735443
16 131 263 34453 0.0017829589996836148
16 131 269 35239 0.0016749100032029673
16 131 311 40741 0.0015976549984770827
16 131 359 47029 0.0016320930008077994
16 131 373 48863 0.0015875870012678206
16 131 401 52531 0.0016595470005995594
16 131 419 54889 0.0016092560035758652
16 131 487 63797 0.0015127790029509924
16 137 271 37127 0.0016817220021039248
16 137 281 38497 0.00171461800346151
16 137 293 40141 0.0018274829999427311
16 137 313 42881 0.0016265510057564825
16 137 331 45347 0.0016757120029069483
16 137 349 47813 0.0016905630036490038
16 137 373 51101 0.0017613070012885146
16 137 389 53293 0.0018204649968538433
16 137 431 59047 0.0017129929983639158
16 137 439 60143 0.001643239003897179
16 139 241 33499 0.0017973430003621615
16 139 257 35723 0.0016883170028449968
16 139 263 36557 0.0018562490004114807
16 139 293 40727 0.0016410520038334653
16 139 317 44063 0.001603620003152173
16 139 353 49067 0.0020087299999431707
16 139 359 49901 0.0016040479968069121
16 139 383 53237 0.0016325149990734644
16 149 241 35909 0.0016344999967259355
16 149 251 37399 0.0016732869989937171
16 149 257 38293 0.001569258005474694
16 149 311 46339 0.0016169170048669912
16 149 349 52001 0.0016729940034565516
16 149 379 56471 0.0016109820062411018
16 149 389 57961 0.0018658990011317655
16 149 421 62729 0.0018246010004077107
16 149 439 65411 0.0017230710000148974
16 151 271 40921 0.0018458069971529767
16 151 283 42733 0.0015757350047351792
16 151 307 46357 0.001577136994455941
16 151 313 47263 0.0016846919970703311
16 151 337 50887 0.0015754710038891062
16 151 347 52397 0.0016217599986703135
16 151 433 65383 0.001741689004120417
16 157 251 39407 0.0016062300055637024
16 157 263 41291 0.001673327999014873
16 157 277 43489 0.0016433700002380647
16 157 311 48827 0.001603819000592921
16 157 347 54479 0.0016860200048540719
16 157 389 61073 0.0019339189966558479
16 167 199 33233 0.0015698960050940514
16 167 233 38911 0.0015489200013689697
16 167 239 39913 0.001624722994165495
16 167 293 48931 0.0018778310040943325
16 167 307 51269 0.0017585370005690493
16 167 379 63293 0.002021180000156164
16 179 193 34547 0.001547045998449903
16 179 227 40633 0.0015774979983689263
16 179 229 40991 0.0016734529999666847
16 179 241 43139 0.0015580820036120713
