#n p q pq seed time
15 97 179 17363 47 0.0017564229965501
15 97 181 17557 52 0.0017163240008812863
15 97 191 18527 21 0.0016876409972610418
15 97 197 19109 56 0.001607252997928299
15 97 251 24347 67 0.0015917769997031428
15 101 173 17473 58 0.001693991001957329
15 101 191 19291 8 0.0015757289984321687
15 101 193 19493 17 0.0017816010004025884
15 101 199 20099 45 0.0016915630003495608
15 101 233 23533 34 0.0015992640001059044
15 101 239 24139 73 0.0016984860012598801
15 103 167 17201 34 0.0016678680003678892
15 103 181 18643 57 0.0016586249985266477
15 103 197 20291 98 0.0015726079982414376
15 103 239 24617 62 0.001684884999122005
15 107 223 23861 40 0.0015859939994697925
15 107 227 24289 23 0.0017266289978579152
15 107 239 25573 96 0.0017581190004420932
15 109 179 19511 43 0.0016122209999593906
15 109 227 24743 55 0.0016694009973434731
15 109 233 25397 13 0.0017401089971826877
15 113 149 16837 91 0.0016030420010793023
15 113 181 20453 91 0.0015621650018147193
15 113 197 22261 13 0.0016474949989060406
15 113 229 25877 45 0.0017424910001864191
15 113 233 26329 42 0.001649730998906307
15 113 241 27233 11 0.0016740789978939574
15 113 251 28363 96 0.001671117999649141
15 127 149 18923 41 0.001695482998911757
15 127 163 20701 69 0.0016279009978461545
15 127 173 21971 32 0.0016490179987158626
15 127 179 22733 41 0.0016174999982467853
15 127 191 24257 69 0.0015595660006511025
15 127 193 24511 17 0.0018185789995186497
15 127 211 26797 98 0.0015849310002522543
15 127 223 28321 12 0.001668105000135256
15 127 233 29591 52 0.0016710669988242444
15 127 241 30607 14 0.0017031640018103644
15 131 149 19519 37 0.001743944998452207
15 131 157 20567 51 0.0017553180005052127
15 131 173 22663 31 0.0017494780004199129
15 131 181 23711 51 0.0017191320002893917
15 131 191 25021 69 0.001612247997400118
15 131 193 25283 34 0.0016121869994094595
15 131 197 25807 8 0.0015721189993200824
15 131 199 26069 78 0.0016395689999626484
15 131 211 27641 46 0.0018664480012375861
15 131 227 29737 96 0.001629287999094231
15 137 139 19043 23 0.0017629590001888573
15 137 151 20687 49 0.001601871001184918
15 137 157 21509 94 0.001627498000743799
15 137 163 22331 44 0.0017162230033136439
15 137 229 31373 89 0.0015554940000583883
15 137 233 31921 84 0.0017383150006935466
15 139 139 19321 71 0.0018496759985282551
15 139 157 21823 40 0.0016417059996456373
15 139 163 22657 93 0.0016166429995791987
15 139 173 24047 93 0.0017525110015412793
15 139 179 24881 68 0.001725189998978749
15 139 181 25159 66 0.0017094920003728475
15 139 199 27661 29 0.0016182129984372295
15 139 211 29329 68 0.0016647560005367268
15 139 227 31553 78 0.0017233739999937825
15 139 229 31831 66 0.0016812039975775406
15 139 233 32387 65 0.001709545002086088
15 149 157 23393 67 0.0016461120030726306
15 149 163 24287 50 0.0017467060024500825
15 149 173 25777 45 0.0017174289969261736
15 149 179 26671 10 0.001747148999129422
15 149 181 26969 90 0.001719467996736057
15 149 197 29353 43 0.0016779350007709581
15 149 199 29651 57 0.0017584489978617057
15 149 211 31439 18 0.0016311310027958825
15 151 179 27029 78 0.001722938999591861
15 151 181 27331 64 0.001675997998972889
15 151 211 31861 52 0.0016381579989683814
15 157 163 25591 7 0.0017513799975859001
15 157 179 28103 49 0.0016835620008350816
15 157 181 28417 27 0.0017159290000563487
15 157 191 29987 55 0.0017024859989760444
15 157 197 30929 99 0.001695828999800142
15 157 199 31243 87 0.0016412850018241443
15 163 179 29177 13 0.0016125030015246011
15 163 197 32111 15 0.0016435480029031169
15 163 199 32437 34 0.001666538999415934
15 167 173 28891 55 0.0017282439985137898
15 167 181 30227 12 0.0017184579992317595
16 131 251 32881 77 0.001988768999581225
16 131 257 33667 34 0.0018056109984172508
16 131 263 34453 67 0.0018589190003694966
16 131 269 35239 27 0.001918883001053473
16 131 311 40741 43 0.0018206919994554482
16 131 359 47029 32 0.0018238320008094888
16 131 373 48863 84 0.0018603499993332662
16 131 401 52531 12 0.0021358989979489706
16 131 419 54889 47 0.0018282560013176408
16 131 487 63797 32 0.0017905489985423628
16 137 271 37127 16 0.0018789940004353411
16 137 281 38497 56 0.0017435769987059757
16 137 293 40141 84 0.001804832001653267
16 137 313 42881 64 0.0018301570016774349
16 137 331 45347 30 0.0018877850015996955
16 137 349 47813 86 0.00189188999866019
16 137 373 51101 77 0.001801217000320321
16 137 389 53293 47 0.0019706019993463997
16 137 431 59047 43 0.0019253030004620086
16 137 439 60143 70 0.0019416020004427992
16 139 241 33499 74 0.0018267359992023557
16 139 257 35723 90 0.0017511180012661498
16 139 263 36557 14 0.0018219710000266787
16 139 293 40727 91 0.0018862969991459977
16 139 317 44063 94 0.0018748980000964366
16 139 353 49067 21 0.00197031599964248
16 139 359 49901 63 0.0017670339984761085
16 139 383 53237 91 0.0019131420012854505
16 149 241 35909 92 0.0017266060021938756
16 149 251 37399 16 0.001785617001587525
16 149 257 38293 17 0.001719739997497527
16 149 311 46339 73 0.0017746610028552823
16 149 349 52001 15 0.0018437440012348816
16 149 379 56471 6 0.0017965920014830772
16 149 389 57961 93 0.001959496999916155
16 149 421 62729 46 0.0017817550033214502
16 149 439 65411 33 0.001979087999643525
16 151 271 40921 87 0.0019868179988407064
16 151 283 42733 36 0.0019131609988107812
16 151 307 46357 65 0.0018635669985087588
16 151 313 47263 23 0.001996332000999246
16 151 337 50887 64 0.0018729180010268465
16 151 347 52397 64 0.0019099919991276693
16 151 433 65383 73 0.0019495209999149665
16 157 251 39407 13 0.0017412190027243923
16 157 263 41291 48 0.0018883230004576035
16 157 277 43489 81 0.0017492169972683769
16 157 311 48827 98 0.001835531998949591
16 157 347 54479 15 0.001681107998592779
16 157 389 61073 20 0.0019674040013342164
16 167 199 33233 81 0.001786388998880284
16 167 233 38911 65 0.0016985960028250702
16 167 239 39913 32 0.0017496979999123141
16 167 293 48931 18 0.0019689769978867844
16 167 307 51269 12 0.0018135259997507092
16 167 379 63293 20 0.0018058210007438902
16 179 193 34547 75 0.0017579249979462475
16 179 227 40633 77 0.0018860549971577711
16 179 229 40991 84 0.0017778980000002775
16 179 241 43139 94 0.0019165099984093104
16 179 349 62471 56 0.0018235980023746379
16 181 199 36019 51 0.0018865729980461765
16 181 227 41087 77 0.0018327049983781762
16 181 307 55567 73 0.0017580730018380564
16 181 347 62807 62 0.001881476000562543
16 191 199 38009 64 0.0018659419984032866
16 191 257 49087 39 0.0018825160004780628
16 191 269 51379 53 0.001915613996970933
16 191 317 60547 36 0.0019169299994246103
16 191 331 63221 17 0.0017842019988165703
16 193 211 40723 68 0.0017733189997670706
16 193 233 44969 86 0.0018630069971550256
16 193 271 52303 94 0.0019109259992546868
16 193 281 54233 67 0.0019613280019257218
16 193 283 54619 68 0.0017359430021315347
16 193 293 56549 25 0.0020016790003865026
16 193 311 60023 66 0.0018675520004762802
16 193 317 61181 24 0.0018354079984419513
16 197 211 41567 28 0.0018953510007122532
16 197 269 52993 40 0.0019138069983455352
16 197 277 54569 57 0.0018906639998022001
16 199 211 41989 13 0.0018306400015717372
16 199 229 45571 64 0.0018125500027963426
16 199 239 47561 66 0.0018087170028593391
16 199 263 52337 18 0.001934060001076432
16 211 227 47897 23 0.0018994389974977821
16 211 257 54227 56 0.0017229209988727234
16 211 271 57181 37 0.0018859949996112846
16 211 293 61823 84 0.0018623329997353721
16 223 263 58649 17 0.001961584999662591
16 227 227 51529 70 0.0018504649997339584
16 227 233 52891 26 0.0018543730002420489
16 227 251 56977 70 0.0018076379965350498
16 229 251 57479 55 0.001825929997721687
16 229 257 58853 88 0.0018095529994752724
16 229 271 62059 81 0.0018454660021234304
16 233 263 61279 13 0.0018300470001122449
16 233 281 65473 21 0.001711878001515288
16 241 251 60491 84 0.0018354469975747634
16 241 263 63383 98 0.0019306899994262494
17 137 487 66719 82 0.0020620770010282286
17 139 509 70751 9 0.001954003997525433
17 149 463 68987 55 0.00198359899877687
17 149 509 75841 75 0.001882124000985641
17 151 461 69611 69 0.0019897919992217794
17 151 491 74141 37 0.0020350060003693216
17 157 419 65783 28 0.001925406999362167
17 157 439 68923 91 0.0020021799973619636
17 157 487 76459 54 0.0017989930020121392
17 163 421 68623 54 0.0019916949968319386
17 163 439 71557 30 0.001958083001227351
17 163 461 75143 40 0.0019499499976518564
17 167 439 73313 99 0.0019302680011605844
17 167 443 73981 14 0.001867105998826446
17 173 419 72487 45 0.0018923770003311802
