# bitsize(pq) p q pq trialdiv
19 593 757 448901 5.96046447754e-06
19 593 839 497527 6.91413879395e-06
19 599 653 391147 5.96046447754e-06
19 601 683 410483 6.91413879395e-06
19 601 701 421301 6.19888305664e-06
19 601 733 440533 5.96046447754e-06
19 607 619 375733 6.91413879395e-06
19 617 661 407837 5.96046447754e-06
19 617 823 507791 5.96046447754e-06
19 619 691 427729 7.15255737305e-06
19 631 647 408257 5.96046447754e-06
19 641 661 423701 7.15255737305e-06
19 643 643 413449 5.96046447754e-06
19 643 701 450743 7.15255737305e-06
19 653 751 490403 5.96046447754e-06
19 653 797 520441 8.10623168945e-06
19 661 773 510953 6.91413879395e-06
19 677 769 520613 5.96046447754e-06
19 683 751 512933 6.91413879395e-06
20 521 1931 1006051 6.91413879395e-06
20 523 1999 1045477 6.19888305664e-06
20 541 1097 593477 5.96046447754e-06
20 541 1559 843419 5.96046447754e-06
20 541 1907 1031687 5.96046447754e-06
20 557 1069 595433 5.96046447754e-06
20 557 1459 812663 7.15255737305e-06
20 563 1123 632249 5.96046447754e-06
20 563 1511 850693 6.91413879395e-06
20 563 1637 921631 5.96046447754e-06
20 569 1009 574121 6.91413879395e-06
20 571 1201 685771 6.91413879395e-06
20 571 1327 757717 5.96046447754e-06
20 571 1823 1040933 6.91413879395e-06
20 577 1699 980323 7.15255737305e-06
20 577 1789 1032253 7.15255737305e-06
20 587 1163 682681 6.91413879395e-06
20 587 1307 767209 7.15255737305e-06
20 587 1327 778949 5.96046447754e-06
20 587 1399 821213 6.91413879395e-06
20 593 967 573431 5.96046447754e-06
20 593 1171 694403 6.91413879395e-06
20 593 1667 988531 7.15255737305e-06
20 601 877 527077 5.96046447754e-06
20 607 971 589397 5.96046447754e-06
20 607 1279 776353 5.96046447754e-06
20 607 1523 924461 5.96046447754e-06
20 613 1031 632003 7.15255737305e-06
20 613 1097 672461 6.91413879395e-06
20 613 1291 791383 5.96046447754e-06
20 613 1459 894367 6.91413879395e-06
20 617 1051 648467 5.96046447754e-06
20 617 1093 674381 5.96046447754e-06
20 619 1181 731039 5.96046447754e-06
20 619 1229 760751 5.96046447754e-06
20 631 1069 674539 6.91413879395e-06
20 631 1087 685897 6.19888305664e-06
20 631 1559 983729 5.96046447754e-06
20 631 1571 991301 5.96046447754e-06
20 641 919 589079 7.15255737305e-06
20 643 1013 651359 5.96046447754e-06
20 643 1039 668077 7.15255737305e-06
20 643 1481 952283 5.96046447754e-06
20 643 1493 959999 6.91413879395e-06
20 643 1607 1033301 1.4066696167e-05
20 653 911 594883 1.09672546387e-05
20 653 991 647123 7.15255737305e-06
20 653 997 651041 7.15255737305e-06
20 653 1459 952727 5.96046447754e-06
20 661 1553 1026533 6.19888305664e-06
20 673 857 576761 7.15255737305e-06
20 673 1217 819041 5.96046447754e-06
20 673 1471 989983 5.96046447754e-06
20 673 1481 996713 6.91413879395e-06
20 683 787 537521 7.15255737305e-06
20 683 911 622213 5.96046447754e-06
20 683 1033 705539 6.91413879395e-06
20 683 1117 762911 6.91413879395e-06
20 691 1327 916957 7.15255737305e-06
20 691 1373 948743 7.15255737305e-06
20 691 1493 1031663 6.91413879395e-06
20 701 953 668053 5.96046447754e-06
20 701 1061 743761 5.96046447754e-06
20 701 1129 791429 6.19888305664e-06
20 709 881 624629 5.96046447754e-06
20 709 1093 774937 5.96046447754e-06
20 727 1181 858587 7.86781311035e-06
20 727 1237 899299 6.91413879395e-06
20 733 1289 944837 6.91413879395e-06
20 739 1361 1005779 6.91413879395e-06
20 743 1031 766033 7.15255737305e-06
20 743 1061 788323 6.91413879395e-06
20 751 863 648113 6.91413879395e-06
20 751 1289 968039 6.91413879395e-06
20 757 1181 894017 7.15255737305e-06
20 757 1259 953063 7.15255737305e-06
20 761 1361 1035721 6.91413879395e-06
20 769 967 743623 7.15255737305e-06
20 769 1061 815909 6.91413879395e-06
20 773 1181 912913 6.91413879395e-06
20 787 887 698069 7.15255737305e-06
20 809 1039 840551 5.96046447754e-06
20 809 1129 913361 6.91413879395e-06
20 809 1283 1037947 6.91413879395e-06
20 811 1049 850739 6.91413879395e-06
20 823 829 682267 6.91413879395e-06
20 823 1153 948919 6.91413879395e-06
20 823 1193 981839 7.15255737305e-06
20 823 1249 1027927 7.15255737305e-06
20 827 1187 981649 7.15255737305e-06
20 829 1091 904439 6.91413879395e-06
20 839 1231 1032809 7.86781311035e-06
20 859 1069 918271 6.91413879395e-06
20 859 1213 1041967 6.91413879395e-06
20 877 997 874369 6.91413879395e-06
20 881 1063 936503 7.15255737305e-06
20 883 907 800881 7.15255737305e-06
20 887 977 866599 6.91413879395e-06
20 911 1097 999367 6.91413879395e-06
20 1009 1031 1040279 7.86781311035e-06
21 541 1973 1067393 7.15255737305e-06
21 569 1999 1137431 7.15255737305e-06
21 571 2017 1151707 5.96046447754e-06
21 577 1993 1149961 7.15255737305e-06
21 587 1901 1115887 5.96046447754e-06
21 641 1667 1068547 6.91413879395e-06
21 641 1721 1103161 6.19888305664e-06
21 647 1997 1292059 6.91413879395e-06
21 659 1733 1142047 5.96046447754e-06
21 659 1987 1309433 7.15255737305e-06
21 673 1831 1232263 7.15255737305e-06
21 683 1747 1193201 6.91413879395e-06
21 691 2011 1389601 6.19888305664e-06
21 719 1693 1217267 7.15255737305e-06
21 727 1823 1325321 7.15255737305e-06
21 727 1933 1405291 6.91413879395e-06
21 733 1489 1091437 5.96046447754e-06
21 757 1489 1127173 7.15255737305e-06
21 769 1669 1283461 7.15255737305e-06
21 797 1553 1237741 6.91413879395e-06
21 809 1669 1350221 6.91413879395e-06
21 823 1579 1299517 6.91413879395e-06
21 827 1327 1097429 7.15255737305e-06
21 827 1559 1289293 9.77516174316e-06
21 839 1663 1395257 8.10623168945e-06
21 853 1459 1244527 6.91413879395e-06
21 853 1871 1595963 7.15255737305e-06
21 857 1439 1233223 6.91413879395e-06
21 859 1699 1459441 8.10623168945e-06
21 863 1277 1102051 6.91413879395e-06
21 881 1823 1606063 6.91413879395e-06
21 881 1879 1655399 6.91413879395e-06
21 883 1201 1060483 6.91413879395e-06
21 883 1453 1282999 7.15255737305e-06
21 883 1567 1383661 7.15255737305e-06
21 883 1973 1742159 6.91413879395e-06
21 887 1307 1159309 7.86781311035e-06
21 887 1601 1420087 7.86781311035e-06
21 919 1303 1197457 6.91413879395e-06
21 919 1873 1721287 7.86781311035e-06
21 929 1129 1048841 6.91413879395e-06
21 929 1609 1494761 6.91413879395e-06
21 941 1381 1299521 7.86781311035e-06
21 947 1907 1805929 6.91413879395e-06
21 947 1951 1847597 6.91413879395e-06
21 953 1777 1693481 8.10623168945e-06
21 971 1097 1065187 7.86781311035e-06
21 971 1567 1521557 7.86781311035e-06
21 971 1637 1589527 6.91413879395e-06
21 977 1439 1405903 7.86781311035e-06
21 977 2039 1992103 8.10623168945e-06
21 983 1301 1278883 7.15255737305e-06
21 983 1601 1573783 7.15255737305e-06
21 991 1951 1933441 6.91413879395e-06
21 1021 1031 1052651 8.10623168945e-06
21 1033 1039 1073287 7.86781311035e-06
21 1049 1187 1245163 7.86781311035e-06
21 1049 1277 1339573 7.86781311035e-06
21 1049 1601 1679449 8.10623168945e-06
21 1051 1471 1546021 7.15255737305e-06
21 1061 1543 1637123 8.10623168945e-06
21 1061 1579 1675319 8.10623168945e-06
21 1061 1777 1885397 8.10623168945e-06
21 1061 1949 2067889 8.10623168945e-06
21 1063 1861 1978243 7.15255737305e-06
21 1069 1607 1717883 6.91413879395e-06
21 1069 1699 1816231 6.91413879395e-06
21 1069 1723 1841887 7.86781311035e-06
21 1091 1637 1785967 7.86781311035e-06
21 1091 1901 2073991 6.91413879395e-06
21 1093 1697 1854821 7.86781311035e-06
21 1093 1723 1883239 6.91413879395e-06
21 1097 1721 1887937 7.15255737305e-06
21 1103 1259 1388677 7.15255737305e-06
21 1153 1217 1403201 8.10623168945e-06
21 1153 1447 1668391 7.86781311035e-06
21 1163 1381 1606103 7.86781311035e-06
21 1171 1553 1818563 6.91413879395e-06
21 1187 1423 1689101 7.86781311035e-06
21 1187 1459 1731833 7.86781311035e-06
21 1187 1753 2080811 8.10623168945e-06
21 1193 1361 1623673 7.86781311035e-06
21 1193 1367 1630831 8.10623168945e-06
21 1201 1481 1778681 8.10623168945e-06
21 1213 1669 2024497 8.10623168945e-06
21 1223 1259 1539757 8.10623168945e-06
21 1229 1481 1820149 8.10623168945e-06
21 1249 1447 1807303 8.10623168945e-06
21 1259 1319 1660621 8.10623168945e-06
21 1259 1523 1917457 8.10623168945e-06
21 1277 1399 1786523 8.10623168945e-06
21 1279 1451 1855829 8.10623168945e-06
21 1297 1489 1931233 8.10623168945e-06
21 1301 1409 1833109 7.86781311035e-06
21 1301 1459 1898159 7.86781311035e-06
21 1307 1559 2037613 7.86781311035e-06
21 1367 1453 1986251 7.86781311035e-06
21 1381 1451 2003831 7.86781311035e-06
21 1381 1481 2045261 7.86781311035e-06
21 1409 1429 2013461 7.86781311035e-06
22 1039 3769 3915991 7.86781311035e-06
22 1049 2551 2675999 7.86781311035e-06
22 1049 2957 3101893 6.91413879395e-06
22 1049 3061 3210989 7.15255737305e-06
22 1051 3593 3776243 7.15255737305e-06
22 1061 2309 2449849 8.10623168945e-06
22 1063 2677 2845651 8.10623168945e-06
22 1069 3767 4026923 2.00271606445e-05
22 1069 3779 4039751 8.10623168945e-06
22 1091 2083 2272553 8.10623168945e-06
22 1091 3181 3470471 8.10623168945e-06
22 1103 3011 3321133 8.10623168945e-06
22 1103 3323 3665269 6.91413879395e-06
22 1117 2389 2668513 8.10623168945e-06
22 1117 2617 2923189 7.86781311035e-06
22 1117 3299 3684983 7.86781311035e-06
22 1117 3449 3852533 7.86781311035e-06
22 1123 2719 3053437 9.05990600586e-06
22 1123 3529 3963067 8.10623168945e-06
22 1129 2687 3033623 8.10623168945e-06
22 1129 3527 3981983 7.15255737305e-06
22 1153 2389 2754517 8.10623168945e-06
22 1181 2953 3487493 8.10623168945e-06
22 1181 3121 3685901 8.10623168945e-06
22 1187 2099 2491513 7.15255737305e-06
22 1193 2083 2485019 8.10623168945e-06
22 1193 3329 3971497 7.86781311035e-06
22 1213 2381 2888153 8.10623168945e-06
22 1217 3253 3958901 7.86781311035e-06
22 1223 1997 2442331 7.86781311035e-06
22 1223 3191 3902593 6.91413879395e-06
22 1229 1987 2442023 7.86781311035e-06
22 1231 1831 2253961 8.10623168945e-06
22 1237 2887 3571219 7.86781311035e-06
22 1249 2203 2751547 7.86781311035e-06
22 1259 1667 2098753 8.82148742676e-06
22 1259 2297 2891923 7.86781311035e-06
22 1279 2297 2937863 7.86781311035e-06
22 1291 2393 3089363 7.86781311035e-06
22 1291 2437 3146167 7.86781311035e-06
22 1291 3089 3987899 8.10623168945e-06
22 1301 2393 3113293 8.10623168945e-06
22 1303 1861 2424883 8.10623168945e-06
22 1319 1913 2523247 9.05990600586e-06
22 1319 2141 2823979 9.05990600586e-06
22 1321 2269 2997349 8.10623168945e-06
22 1361 2719 3700559 9.05990600586e-06
22 1373 2437 3346001 8.10623168945e-06
22 1381 2371 3274351 9.05990600586e-06
22 1399 1907 2667893 9.05990600586e-06
22 1399 2153 3012047 8.10623168945e-06
22 1409 2953 4160777 8.10623168945e-06
22 1429 2027 2896583 8.10623168945e-06
22 1433 2647 3793151 9.05990600586e-06
22 1439 1597 2298083 8.10623168945e-06
22 1447 1553 2247191 9.05990600586e-06
22 1451 2441 3541891 8.10623168945e-06
22 1471 1553 2284463 8.82148742676e-06
22 1471 1621 2384491 8.82148742676e-06
22 1489 2017 3003313 8.10623168945e-06
22 1493 2269 3387617 9.05990600586e-06
22 1493 2467 3683231 8.10623168945e-06
22 1499 1613 2417887 8.10623168945e-06
22 1499 2423 3632077 8.82148742676e-06
22 1511 2039 3080929 7.86781311035e-06
22 1523 2749 4186727 9.05990600586e-06
22 1531 2311 3538141 8.10623168945e-06
22 1531 2389 3657559 8.10623168945e-06
22 1531 2503 3832093 9.05990600586e-06
22 1549 1553 2405597 9.05990600586e-06
22 1553 1787 2775211 9.05990600586e-06
22 1553 2221 3449213 9.05990600586e-06
22 1559 1621 2527139 9.05990600586e-06
22 1559 2609 4067431 8.82148742676e-06
22 1571 1601 2515171 8.82148742676e-06
22 1571 2221 3489191 8.82148742676e-06
22 1571 2267 3561457 8.82148742676e-06
22 1579 2063 3257477 2.69412994385e-05
22 1579 2503 3952237 9.05990600586e-06
22 1583 1787 2828821 8.82148742676e-06
22 1597 2069 3304193 9.05990600586e-06
22 1601 2221 3555821 9.05990600586e-06
22 1601 2357 3773557 9.05990600586e-06
22 1607 2293 3684851 8.82148742676e-06
22 1609 2437 3921133 8.82148742676e-06
22 1619 1901 3077719 9.05990600586e-06
22 1663 1951 3244513 9.05990600586e-06
22 1693 2311 3912523 9.05990600586e-06
