#bitsize(pq) p q pq mean
15 97 181 17557 0.013090304017532617
15 97 191 18527 0.011333344201557339
15 97 197 19109 0.011275021580513567
15 97 251 24347 0.009877164009958505
15 101 173 17473 0.020871243986766784
15 101 191 19291 0.007031020196154714
15 101 193 19493 0.01302534540882334
15 101 199 20099 0.013130805606488138
15 101 233 23533 0.01318389920052141
15 101 239 24139 0.009631784609518945
15 103 167 17201 0.009540930797811598
15 103 181 18643 0.011113263794686645
15 103 197 20291 0.009587561595253646
15 103 239 24617 0.013047881599050015
15 107 223 23861 0.008010712603572756
15 107 227 24289 0.010732393397483974
15 107 239 25573 0.007057257008273155
15 109 179 19511 0.008874425978865475
15 109 227 24743 0.01141198059776798
15 109 233 25397 0.011575324006844311
15 113 149 16837 0.012284616788383574
15 113 181 20453 0.009523089998401702
15 113 197 22261 0.007973525207489729
15 113 229 25877 0.009842920792289078
15 113 233 26329 0.008097343193367124
15 113 241 27233 0.00955356159247458
15 113 251 28363 0.007937733794096857
15 127 149 18923 0.008701436209958047
15 127 163 20701 0.011694740795064718
15 127 173 21971 0.00788235159125179
15 127 179 22733 0.00953146822284907
15 127 191 24257 0.011307103012222796
15 127 193 24511 0.00888151180697605
15 127 211 26797 0.01302104638889432
15 127 223 28321 0.011423996603116392
15 127 233 29591 0.015034957800526171
15 127 241 30607 0.009695369214750827
15 131 149 19519 0.00965016462141648
15 131 157 20567 0.007858511782251299
15 131 173 22663 0.009492957999464124
15 131 181 23711 0.011315903603099286
15 131 191 25021 0.00979016920318827
15 131 193 25283 0.011280824209097772
15 131 197 25807 0.007856279402039945
15 131 199 26069 0.011236193601507693
15 131 211 27641 0.01135946500580758
15 131 227 29737 0.016292882605921478
15 137 139 19043 0.01118434959789738
15 137 151 20687 0.00950332919601351
15 137 157 21509 0.014625733415596188
15 137 163 22331 0.019802556803915648
15 137 229 31373 0.00789640418952331
15 137 233 31921 0.012989647209178657
15 139 139 19321 0.01305665822001174
15 139 157 21823 0.00784748540027067
15 139 163 22657 0.011114998417906464
15 139 173 24047 0.011322259018197656
15 139 179 24881 0.009464092808775604
15 139 181 25159 0.007845132797956466
15 139 199 27661 0.01138728680089116
15 139 211 29329 0.012940522213466466
15 139 227 31553 0.011228943592868745
15 139 229 31831 0.00957545981509611
15 139 233 32387 0.039131140196695925
15 149 157 23393 0.04958440980408341
15 149 163 24287 0.008358644985128194
15 149 173 25777 0.01282569079194218
15 149 179 26671 0.029135838407091795
15 149 181 26969 0.01301213561091572
15 149 197 29353 0.013026860589161516
15 149 199 29651 0.014887173590250314
15 149 211 31439 0.014630471204873175
15 151 179 27029 0.018006863596383482
15 151 181 27331 0.01476560439914465
15 151 211 31861 0.01138987320009619
15 157 163 25591 0.013209627592004836
15 157 179 28103 0.007855873985681683
15 157 181 28417 0.011187414615415036
15 157 191 29987 0.01333165462128818
15 157 197 30929 0.017812181997578592
15 157 199 31243 0.011268509807996452
15 163 179 29177 0.011161922407336534
15 163 197 32111 0.014940746803767979
15 163 199 32437 0.009746134607121348
15 167 173 28891 0.014732204796746372
15 167 181 30227 0.012979174812790007
16 131 251 32881 0.01134656318463385
16 131 257 33667 0.028872689802665264
16 131 263 34453 0.022581362584605812
16 131 269 35239 0.028935125190764667
16 131 311 40741 0.03539532279828563
16 131 359 47029 0.02885630679083988
16 131 373 48863 0.03878160777967423
16 131 401 52531 0.032438115787226704
16 131 419 54889 0.03911002220120281
16 131 487 63797 0.032150495401583615
16 137 271 37127 0.03253684440860525
16 137 281 38497 0.032577094598673285
16 137 293 40141 0.03209931738674641
16 137 313 42881 0.055273435602430254
16 137 331 45347 0.13914333621505648
16 137 349 47813 0.03239565039984882
16 137 373 51101 0.02902262459974736
16 137 389 53293 0.02893533561145887
16 137 431 59047 0.025640624784864487
16 137 439 60143 0.03887072141515091
16 139 241 33499 0.01132464500842616
16 139 257 35723 0.03215366139775142
16 139 263 36557 0.02889030860969797
16 139 293 40727 0.03300585200777277
16 139 317 44063 0.03219046838348731
16 139 353 49067 0.028897999203763902
16 139 359 49901 0.03234336358727887
16 139 383 53237 0.03240501220570877
16 149 241 35909 0.018066907383035867
16 149 251 37399 0.011204444197937846
16 149 257 38293 0.025791805202607064
16 149 311 46339 0.03249510378809646
16 149 349 52001 0.03206672420492396
16 149 379 56471 0.03229282998945564
16 149 389 57961 0.032351484789978714
16 149 421 62729 0.03213222878985107
16 149 439 65411 0.02884342639008537
16 151 271 40921 0.02880069618113339
16 151 283 42733 0.032538539392407986
16 151 307 46357 0.038883173186331985
16 151 313 47263 0.032144138391595335
16 151 337 50887 0.03234525999287143
16 151 347 52397 0.03257933740969747
16 151 433 65383 0.03912875921232626
16 157 251 39407 0.016455507010687143
16 157 263 41291 0.03233736460097134
16 157 277 43489 0.02881948238937184
16 157 311 48827 0.029032510600518435
16 157 347 54479 0.029268892598338425
16 157 389 61073 0.03852065000683069
16 167 199 33233 0.012680771003942937
16 167 233 38911 0.011205679597333073
16 167 239 39913 0.008011217997409403
16 167 293 48931 0.03861128500429913
16 167 307 51269 0.03230839041061699
16 167 379 63293 0.032322579598985615
16 179 193 34547 0.011555424006655813
16 179 227 40633 0.011150426615495234
16 179 229 40991 0.016228438599500804
16 179 241 43139 0.012740687211044132
16 179 349 62471 0.029005358193535356
16 181 199 36019 0.013166196993552148
16 181 227 41087 0.01767093479866162
16 181 307 55567 0.029082348011434077
16 181 347 62807 0.03215337300207466
16 191 199 38009 0.01303872597636655
16 191 257 49087 0.032550364593043925
16 191 269 51379 0.032303540408611296
16 191 317 60547 0.03238208198454231
16 191 331 63221 0.0327332361950539
16 193 211 40723 0.013032631191890687
16 193 233 44969 0.018183923221658915
16 193 271 52303 0.03223089879611507
16 193 281 54233 0.0325468430062756
16 193 283 54619 0.03914224480977282
16 193 293 56549 0.03238476018887013
16 193 311 60023 0.03261869479902089
16 193 317 61181 0.028950418601743876
16 197 211 41567 0.007854129816405476
16 197 269 52993 0.025611160206608474
16 197 277 54569 0.03229716679779813
16 199 211 41989 0.011305782373528927
16 199 229 45571 0.01797932420158759
16 199 239 47561 0.012727559602353722
16 199 263 52337 0.038664536201395094
16 211 227 47897 0.011243017006199807
16 211 257 54227 0.022427972592413425
16 211 271 57181 0.03224539700895548
16 211 293 61823 0.032392603997141126
16 223 263 58649 0.028889563807751983
16 227 227 51529 0.01297131358878687
16 227 233 52891 0.008102047012653203
16 227 251 56977 0.007840381015557795
16 229 251 57479 0.018030568188987673
16 229 257 58853 0.03256074661621824
16 229 271 62059 0.032722167193423954
16 233 263 61279 0.03214228517608717
16 233 281 65473 0.025772783195134253
16 241 251 60491 0.007849402609281242
16 241 263 63383 0.028858896414749324
17 137 487 66719 0.032327650592196736
17 139 509 70751 0.032434952817857264
17 149 463 68987 0.03236059221671894
17 149 509 75841 0.03273457619361579
17 151 461 69611 0.032436441991012546
17 151 491 74141 0.02923154259333387
17 157 419 65783 0.02883617419283837
17 157 439 68923 0.028880212584044784
17 157 487 76459 0.025627654418349265
17 163 421 68623 0.02235873860772699
17 163 439 71557 0.0324197382084094
17 163 461 75143 0.03900469180662185
17 167 439 73313 0.03247364358976483
17 167 443 73981 0.03247088859789073
17 173 419 72487 0.028856196603737772
17 173 449 77677 0.039250597008503973
17 179 373 66767 0.029017727193422615
17 179 457 81803 0.032184053992386906
17 181 367 66427 0.03227199220564216
17 181 397 71857 0.029032958613242954
17 181 409 74029 0.0323811461799778
17 181 487 88147 0.032421410595998165
17 191 401 76591 0.029186386393848806
17 191 443 84613 0.03250708339037374
17 191 503 96073 0.03253927240148187
17 193 347 66971 0.03222534680971876
17 193 419 80867 0.025660264806356282
17 193 503 97079 0.02244392301654443
17 197 337 66389 0.02238380800699815
17 197 359 70723 0.02239028358599171
17 197 439 86483 0.02287292681867257
17 199 401 79799 0.02885435038479045
17 199 409 81391 0.022304986789822578
17 199 463 92137 0.03220550839323551
17 211 317 66887 0.038999409193638715
17 211 337 71107 0.025700074795167893
17 211 347 73217 0.032250545592978595
17 211 461 97271 0.032492944796103984
17 211 499 105289 0.03243310039397329
17 223 353 78719 0.0322927601984702
17 223 457 101911 0.029278627585154027
17 223 479 106817 0.032501949009019884
17 223 499 111277 0.03286040398525074
17 227 313 71051 0.03236102618975565
17 227 353 80131 0.029092928778845818
17 227 359 81493 0.032403587002772835
17 227 499 113273 0.032522744813468306
17 229 313 71677 0.0326254537794739
17 229 397 90913 0.03254801959265023
17 229 457 104653 0.02888030419126153
17 233 347 80851 0.03277273760177195
17 233 397 92501 0.03238011318026111
17 233 461 107413 0.03247095578117296
17 239 347 82933 0.02881583438720554
17 239 421 100619 0.015919067396316676
17 239 467 111613 0.022428370406851174
17 241 313 75433 0.03205024980707094
17 241 337 81217 0.029118089412804693
17 241 373 89893 0.03205016960855574
17 241 383 92303 0.039470281824469565
17 241 463 111583 0.03264927559066564
17 251 311 78061 0.0324898858089
17 251 373 93623 0.033110388612840325
17 251 401 100651 0.10219056340865791
17 251 419 105169 0.06902228200342506
17 251 467 117217 0.03204382760450244
17 257 317 81469 0.03541687560500577
17 257 347 89179 0.029124019597657026
17 257 349 89693 0.03252607239410281
17 257 359 92263 0.03896122861187905
17 263 331 87053 0.03217674398329109
17 263 421 110723 0.03251566019607708
17 269 311 83659 0.02912953260820359
17 269 349 93881 0.032195506582502274
17 269 373 100337 0.02914839399745688
17 269 463 124547 0.02893646099837497
17 269 479 128851 0.03270738278515637
17 269 487 131003 0.03890829099109396
17 271 379 102709 0.038759140588808805
17 271 397 107587 0.03242443657945841
17 277 337 93349 0.03925152380252257
17 277 409 113293 0.0323244912084192
17 277 421 116617 0.025611483806278555
17 281 439 123359 0.03252990859327838
17 283 283 80089 0.03255370820406824
17 283 439 124237 0.03214517539599911
17 283 457 129331 0.038565749581903216
17 293 293 85849 0.02886776039376855
17 293 307 89951 0.035445448593236506
17 293 317 92881 0.03221853140275925
17 293 373 109289 0.032510559575166555
17 293 397 116321 0.038942988798953596
17 293 409 119837 0.03217434220714495
17 307 317 97319 0.03240735981380567
17 307 373 114511 0.03215507239801809
17 307 421 129247 0.033128154592122885
17 311 389 120979 0.02881372857373208
17 311 419 130309 0.03224621739936993
17 331 347 114857 0.032132060592994095
17 347 367 127349 0.03535796940559521
18 257 617 158569 0.03874626560136676
18 257 647 166279 0.0453991511836648
18 257 809 207913 0.032376065605785695
18 263 499 131237 0.03875233560102061
18 263 613 161219 0.05173263259930536
18 263 619 162797 0.045334633614402264
18 263 631 165953 0.04518271539127454
18 269 821 220849 0.05166041199117899
18 269 967 260123 0.03248727479949594
18 271 601 162871 0.03860721418168396
18 271 661 179131 0.045343320607207714
18 271 829 224659 0.0321913106017746
18 271 857 232247 0.04523284500464797
18 271 859 232789 0.04540798499947414
18 277 547 151519 0.0388151247985661
18 277 599 165923 0.03209774000570178
18 277 643 178111 0.03208196121267974
18 277 719 199163 0.05545652258442715
18 277 761 210797 0.0387973781907931
18 277 787 217999 0.04548401819774881
18 277 811 224647 0.03257239040685818
18 277 829 229633 0.032250213786028326
18 277 919 254563 0.03211774899391458
18 281 523 146963 0.0450108518009074
18 281 631 177311 0.038815621600952
18 281 727 204287 0.03223771499469876
18 283 691 195553 0.03220237061614171
18 283 739 209137 0.04543124720221385
18 283 797 225551 0.032105103204958144
18 283 827 234041 0.0385965378023684
18 293 521 152653 0.038701778976246715
18 293 523 153239 0.0390236460021697
18 293 593 173749 0.03904457219177857
18 293 877 256961 0.03231280780164525
18 307 607 186349 0.032088380784261974
18 307 653 200471 0.05137908940669149
18 307 839 257573 0.03871642558369785
18 307 853 261871 0.03844669240061194
18 311 433 134663 0.03873035301221535
18 311 439 136529 0.03261822221102193
18 311 491 152701 0.03243215780239552
18 311 757 235427 0.03228275600122288
18 311 811 252221 0.025803907797671853
18 313 659 206267 0.032002128986641766
18 313 733 229429 0.03201900899875909
18 317 433 137261 0.03254149720305577
18 317 479 151843 0.03257755739614367
18 317 547 173399 0.03860716260969639
18 317 683 216511 0.03871913199545816
18 317 727 230459 0.052080966020002964
18 317 769 243773 0.045546469185501336
18 317 811 257087 0.03242084499215707
18 331 499 165169 0.02896579741500318
18 331 619 204889 0.029122714209370314
18 331 701 232031 0.03217030779924244
18 337 419 141203 0.02570171278202906
18 337 443 149291 0.028954928205348552
18 337 599 201863 0.03222997138509527
18 337 709 238933 0.03221538161160424
18 337 733 247021 0.051986011804547164
18 337 773 260501 0.03895500299986452
18 347 419 145393 0.03231879980303347
18 347 571 198137 0.051924006396438925
18 347 683 237001 0.032268334785476326
18 349 379 132271 0.039085940399672836
18 359 617 221503 0.039199656993150714
18 359 659 236581 0.0387810003827326
18 367 643 235981 0.03238384801661596
18 367 683 250661 0.03890088900225237
18 373 389 145097 0.0255744188092649
18 373 683 254759 0.03202068581013009
18 379 389 147431 0.025597665191162376
18 379 397 150463 0.03253091260557994
18 379 439 166381 0.03258833602303639
18 383 421 161243 0.03212283520260826
18 383 457 175031 0.03524764316389337
18 389 521 202669 0.04513035020790994
18 397 571 226687 0.038680178206413986
18 397 617 244949 0.03872712317388505
18 401 467 187267 0.032336798391770574
18 401 569 228169 0.03891335281077772
18 409 523 213907 0.03241143280174583
18 409 571 233539 0.03886522141983732
18 419 461 193159 0.02911560278153047
18 421 509 214289 0.029116620006971062
18 421 523 220183 0.0453806268167682
18 421 619 260599 0.03229318020166829
18 431 463 199553 0.032458104006946084
18 431 571 246101 0.03881644321372733
18 433 463 200479 0.03883736840216443
18 433 509 220397 0.029007439804263412
18 439 479 210281 0.03263092120178044
18 443 521 230803 0.03225412180181593
18 449 487 218663 0.02944535140413791
18 449 569 255481 0.039081405603792516
18 461 487 224507 0.03213466157903895
18 467 523 244241 0.03200025139376521
18 467 541 252647 0.03862750261323526
18 487 523 254701 0.04923303020186722
18 499 523 260977 0.03222996599506587
19 263 997 262211 0.03238676380133256
19 277 977 270629 0.03894545099465176
19 307 919 282133 0.04574084698688239
19 313 859 268867 0.03233426579972729
19 313 877 274501 0.032259228616021575
19 317 941 298297 0.05880043199285865
19 317 977 309709 0.05871247360482812
19 317 997 316049 0.0489901960012503
19 331 997 330007 0.04547180378576741
19 337 947 319139 0.045549464598298076
19 349 1019 355631 0.03890486799646169
19 353 773 272869 0.038769831391982736
19 353 857 302521 0.045696877385489644
19 353 983 346999 0.03905826898990199
19 373 821 306233 0.032082013017497954
19 379 701 265679 0.03886898320633918
