#bitsize(pq) p q pq median
15 127 193 24511 0.007836527016479522
15 127 211 26797 0.007940031995531172
15 127 223 28321 0.007947111036628485
15 127 233 29591 0.016822976991534233
15 127 241 30607 0.008172447036486119
15 131 149 19519 0.008033220015931875
15 131 157 20567 0.007866134983487427
15 131 173 22663 0.007876147981733084
15 131 181 23711 0.008415469026658684
15 131 191 25021 0.007965959957800806
15 131 193 25283 0.007940447016153485
15 131 197 25807 0.007862830010708421
15 131 199 26069 0.008077194972429425
15 131 211 27641 0.008122453989926726
15 131 227 29737 0.0162645360105671
15 137 139 19043 0.008019950008019805
15 137 151 20687 0.007823234016541392
15 137 157 21509 0.007891819986980408
15 137 163 22331 0.016967157018370926
15 137 229 31373 0.007848754990845919
15 137 233 31921 0.01597855001455173
15 139 139 19321 0.01622503000544384
15 139 157 21823 0.007844563049729913
15 139 163 22657 0.00791798799764365
15 139 173 24047 0.00833045900799334
15 139 179 24881 0.007826549001038074
15 139 181 25159 0.00787112198304385
15 139 199 27661 0.008075437974184752
15 139 211 29329 0.01605228503467515
15 139 227 31553 0.00794774095993489
15 139 229 31831 0.007912561006378382
15 139 233 32387 0.007823272026143968
15 149 157 23393 0.007952531974297017
15 149 163 24287 0.00798583502182737
15 149 173 25777 0.007814458047505468
15 149 179 26671 0.007811838993802667
15 149 181 26969 0.008118149999063462
15 149 197 29353 0.01612312695942819
15 149 199 29651 0.01627948699751869
15 149 211 31439 0.008173246984370053
15 151 179 27029 0.01663214701693505
15 151 181 27331 0.016241127043031156
15 151 211 31861 0.008144413004629314
15 157 163 25591 0.01619436201872304
15 157 179 28103 0.00786520796827972
15 157 181 28417 0.008027344010770321
15 157 191 29987 0.01611369801685214
15 157 197 30929 0.015993971028365195
15 157 199 31243 0.007842330960556865
15 163 179 29177 0.007844881969504058
15 163 197 32111 0.016581311996560544
15 163 199 32437 0.007984172960277647
15 167 173 28891 0.008050606003962457
15 167 181 30227 0.01596655702451244
16 131 251 32881 0.008184856968000531
16 131 257 33667 0.03210382699035108
16 131 263 34453 0.016030942962970585
16 131 269 35239 0.03196900797775015
16 131 311 40741 0.03223447100026533
16 131 359 47029 0.032014689000789076
16 131 373 48863 0.032464071991853416
16 131 401 52531 0.03237995796371251
16 131 419 54889 0.03236231300979853
16 131 487 63797 0.03214859002036974
16 137 271 37127 0.032321566017344594
16 137 281 38497 0.032403350982349366
16 137 293 40141 0.03197553497739136
16 137 313 42881 0.0320014429744333
16 137 331 45347 0.03231569501804188
16 137 349 47813 0.032229005999397486
16 137 373 51101 0.0320937079959549
16 137 389 53293 0.03205935301957652
16 137 431 59047 0.032036640972364694
16 137 439 60143 0.032773361017461866
16 139 241 33499 0.007928995008114725
16 139 257 35723 0.03202763700392097
16 139 263 36557 0.03211945598013699
16 139 293 40727 0.03276361199095845
16 139 317 44063 0.03219945396995172
16 139 353 49067 0.03205889498349279
16 139 359 49901 0.03227657498791814
16 139 383 53237 0.032283817999996245
16 149 241 35909 0.01637709396891296
16 149 251 37399 0.008011862984858453
16 149 257 38293 0.032025908993091434
16 149 311 46339 0.03227308898931369
16 149 349 52001 0.03201065701432526
16 149 379 56471 0.03219004301354289
16 149 389 57961 0.03235416702227667
16 149 421 62729 0.032094563997816294
16 149 439 65411 0.03208013798575848
16 151 271 40921 0.03202821995364502
16 151 283 42733 0.03214287798618898
16 151 307 46357 0.032613538031000644
16 151 313 47263 0.03206262498861179
16 151 337 50887 0.032221655012108386
16 151 347 52397 0.03224735503317788
16 151 433 65383 0.03296115301782265
16 157 251 39407 0.016415934020187706
16 157 263 41291 0.032093863002955914
16 157 277 43489 0.0320277699502185
16 157 311 48827 0.03205087699461728
16 157 347 54479 0.03205826599150896
16 157 389 61073 0.03210221801418811
16 167 199 33233 0.00785056798486039
16 167 233 38911 0.007929457002319396
