#bitsize(pq) p q pq std
15 79 239 18881 0.01011296467778827
15 79 241 19039 0.004359200676548404
15 83 199 16517 0.0037813765323120663
15 83 211 17513 0.003299418008494239
15 83 233 19339 0.010260659637360463
15 89 191 16999 0.0019949905738913093
15 89 193 17177 0.009560833234152168
15 89 211 18779 0.0035223267108684016
15 89 233 20737 0.004375263490492971
15 97 179 17363 0.003388971307360113
15 97 181 17557 0.004289225868234061
15 97 191 18527 0.004160144852960673
15 97 197 19109 0.0041524026169345255
15 97 251 24347 0.003296826443505859
15 101 173 17473 0.021870847390654525
15 101 191 19291 0.0016453770888875583
15 101 193 19493 0.004023803634348511
15 101 199 20099 0.00403448213688218
15 101 233 23533 0.004142243158670247
15 101 239 24139 0.0033159151148862117
15 103 167 17201 0.003403997652317278
15 103 181 18643 0.004005479374201927
15 103 197 20291 0.003285004132853405
15 103 239 24617 0.004101377250968485
15 107 223 23861 0.004378403087597932
15 107 227 24289 0.005324425991861261
15 107 239 25573 0.001675818065309796
15 109 179 19511 0.004309005070779342
15 109 227 24743 0.0039611836241279196
15 109 233 25397 0.004493143017175994
15 113 149 16837 0.005390656830672821
15 113 181 20453 0.0032810012665610766
15 113 197 22261 8.42274502054028e-05
15 113 229 25877 0.006020681815522388
15 113 233 26329 0.000235269250521644
15 113 241 27233 0.0032288760576787553
15 113 251 28363 4.2368255943273565e-05
15 127 149 18923 0.004037013378543095
15 127 163 20701 0.004221767971469483
15 127 173 21971 5.105708923480756e-05
15 127 179 22733 0.0034731122129988334
15 127 191 24257 0.004069911724077454
15 127 193 24511 0.003972901590501266
15 127 211 26797 0.01000848074429132
15 127 223 28321 0.004345045804758153
15 127 233 29591 0.0034755746977708146
15 127 241 30607 0.0032233442401154184
15 131 149 19519 0.0032410213978713515
15 131 157 20567 1.7074773106153883e-05
15 131 173 22663 0.003269786265797106
15 131 181 23711 0.0040130856897064755
15 131 191 25021 0.00360343162452843
15 131 193 25283 0.004121293392089254
15 131 197 25807 1.0906482926542092e-05
15 131 199 26069 0.004032852169908614
15 131 211 27641 0.00402915125120497
15 131 227 29737 0.00883981324330532
15 137 139 19043 0.003964878669388547
15 137 151 20687 0.0033091414591203015
15 137 157 21509 0.009654812927667443
15 137 163 22331 0.011148202758262593
15 137 229 31373 8.364996107203451e-05
15 137 233 31921 0.004215893041032285
15 139 139 19321 0.004230733301717003
15 139 157 21823 6.147102462402094e-05
15 139 163 22657 0.00397358460467418
15 139 173 24047 0.004142380860612673
15 139 179 24881 0.0032678663602886296
15 139 181 25159 4.6069962145505055e-05
15 139 199 27661 0.0042168218662031924
15 139 211 29329 0.004158684852185243
15 139 227 31553 0.004066953536975666
15 139 229 31831 0.0032368689896488693
15 139 233 32387 0.06263837679052728
15 149 157 23393 0.08261471499277462
15 149 163 24287 0.0007625182417023799
15 149 173 25777 0.009992069845229405
15 149 179 26671 0.04265808589284727
15 149 181 26969 0.00963918310595542
15 149 197 29353 0.004232270677830394
15 149 199 29651 0.003387875185662309
15 149 211 31439 0.009472847808124399
15 151 179 27029 0.008035940476026187
15 151 181 27331 0.0033391536442799663
15 151 211 31861 0.0040634994980033885
15 157 163 25591 0.004319245222149397
15 157 179 28103 4.2259433098971654e-05
15 157 181 28417 0.003984405259472382
15 157 191 29987 0.0037417439716116423
15 157 197 30929 0.00805603544175629
15 157 199 31243 0.0042060907528249595
15 163 179 29177 0.0040994178162774165
15 163 197 32111 0.0034745242258731987
15 163 199 32437 0.003572665537956806
15 167 173 28891 0.009629662251318437
15 167 181 30227 0.0042182032261064385
16 131 251 32881 0.004155869230359116
16 131 257 33667 0.006507154062737494
16 131 263 34453 0.008155094379600047
16 131 269 35239 0.0065512080730673345
16 131 311 40741 0.015858376402499673
16 131 359 47029 0.006481249227004574
16 131 373 48863 0.012693155084417885
16 131 401 52531 0.000351400095952303
16 131 419 54889 0.013260913535927281
16 131 487 63797 6.403797028009032e-05
16 137 271 37127 0.0004275557135377115
16 137 281 38497 0.0004892186675205593
16 137 293 40141 0.00024972255329737435
16 137 313 42881 0.0549505606296224
16 137 331 45347 0.21334924266779953
16 137 349 47813 0.00035750223957244537
