#bitsize(pq) p q pq min
13 47 107 5029 0.03256431600311771
13 47 109 5123 0.015976622002199292
13 47 113 5311 0.015905128966551274
13 47 127 5969 0.032167433004360646
13 53 79 4187 0.015909905021544546
13 53 83 4399 0.016329403966665268
13 53 89 4717 0.032263183034956455
13 53 97 5141 0.03227234398946166
13 53 101 5353 0.03230620699469
13 53 103 5459 0.015952287998516113
13 53 107 5671 0.015839114028494805
13 53 109 5777 0.016036123037338257
13 53 113 5989 0.0321277390467003
13 53 127 6731 0.015847481961827725
13 59 71 4189 0.015936146024614573
13 59 73 4307 0.03258972201729193
13 59 79 4661 0.015897192002739757
13 59 83 4897 0.032177535991650075
13 59 89 5251 0.03212637599790469
13 59 97 5723 0.01598362304503098
13 59 101 5959 0.015960282005835325
13 59 103 6077 0.01602101797470823
13 59 107 6313 0.015965690021403134
13 59 109 6431 0.015836309001315385
13 59 113 6667 0.01581509702373296
13 59 127 7493 0.015909035981167108
13 61 71 4331 0.03233415598515421
13 61 73 4453 0.03226288198493421
13 61 79 4819 0.032203767041210085
13 61 83 5063 0.033156684949062765
13 61 89 5429 0.032530452008359134
13 61 97 5917 0.03203435998875648
13 61 101 6161 0.01603686501039192
13 61 103 6283 0.015932149020954967
13 61 107 6527 0.01593854499515146
13 61 109 6649 0.032553213997744024
13 61 113 6893 0.03246883099200204
13 61 127 7747 0.03231362800579518
13 67 67 4489 0.03252194100059569
13 67 71 4757 0.01693808799609542
13 67 73 4891 0.03314243501517922
13 67 79 5293 0.015920155041385442
13 67 83 5561 0.03231007797876373
13 67 89 5963 0.01651573396520689
13 67 97 6499 0.016050520003773272
13 67 101 6767 0.016070848039817065
13 67 103 6901 0.03217012499226257
13 67 107 7169 0.03318884799955413
13 67 109 7303 0.033301157993264496
13 67 113 7571 0.03307187801692635
13 71 71 5041 0.01589908398455009
13 71 73 5183 0.03270055097527802
13 71 79 5609 0.015962154953740537
13 71 83 5893 0.03253528499044478
13 71 89 6319 0.015964743972290307
13 71 97 6887 0.015948571963235736
13 71 101 7171 0.016304797027260065
13 71 103 7313 0.03207826003199443
13 71 107 7597 0.015979273011907935
13 71 109 7739 0.032278891012538224
13 71 113 8023 0.0160269690095447
13 73 73 5329 0.016032276034820825
13 73 79 5767 0.015985337959136814
13 73 83 6059 0.01630471396492794
13 73 89 6497 0.03317382303066552
13 73 97 7081 0.032379793003201485
13 73 101 7373 0.032154403044842184
13 73 103 7519 0.01596889999927953
13 73 107 7811 0.01604805199895054
13 73 109 7957 0.032356166979297996
13 79 79 6241 0.015940150013193488
13 79 83 6557 0.032340621983166784
13 79 89 7031 0.03214651404414326
13 79 97 7663 0.03208458999870345
13 79 101 7979 0.01627878798171878
13 79 103 8137 0.016374639002606273
13 83 83 6889 0.035921073984354734
13 83 89 7387 0.01613714697305113
13 83 97 8051 0.0159384940052405
13 89 89 7921 0.015994764980860054
14 67 127 8509 0.03211769898189232
14 67 131 8777 0.03306243795668706
14 67 137 9179 0.016030316008254886
14 67 139 9313 0.03222391603048891
14 67 151 10117 0.015949305961839855
14 67 157 10519 0.016389156982768327
14 67 181 12127 0.03317946003517136
14 67 191 12797 0.03234667400829494
14 67 193 12931 0.015991140040569007
14 67 197 13199 0.03275578800821677
14 67 223 14941 0.032204785966314375
14 67 227 15209 0.03243543399730697
14 67 229 15343 0.015994446992408484
14 67 233 15611 0.01594834600109607
14 67 239 16013 0.03297288704197854
14 67 241 16147 0.015928035019896924
14 71 131 9301 0.03249985503498465
14 71 137 9727 0.015989712032023817
14 71 149 10579 0.03241564997006208
14 71 151 10721 0.016163950029294938
14 71 157 11147 0.0159940019948408
14 71 167 11857 0.0159408759791404
14 71 179 12709 0.0325677230139263
14 71 181 12851 0.015903205960057676
14 71 199 14129 0.03222622803878039
14 71 227 16117 0.03321448800852522
14 73 113 8249 0.015941801015287638
14 73 127 9271 0.03205521299969405
14 73 131 9563 0.015949043969158083
14 73 139 10147 0.015977187955286354
14 73 151 11023 0.03273517498746514
14 73 157 11461 0.015979047981090844
14 73 163 11899 0.01597011397825554
14 73 167 12191 0.03229447896592319
14 73 181 13213 0.032246117014437914
14 73 191 13943 0.03221045498503372
14 73 193 14089 0.016065468022134155
14 73 197 14381 0.016145708970725536
14 73 199 14527 0.0319840390002355
14 73 211 15403 0.032245463982690126
14 73 223 16279 0.03503657900728285
14 79 107 8453 0.03254049696261063
14 79 109 8611 0.015899483987595886
14 79 113 8927 0.032396312977653
14 79 127 10033 0.03231258399318904
14 79 137 10823 0.03314184898044914
14 79 139 10981 0.03217676101485267
14 79 149 11771 0.015960383985657245
14 79 157 12403 0.015955486975144595
14 79 163 12877 0.016000955016352236
14 79 167 13193 0.032095688045956194
14 79 191 15089 0.03268122498411685
14 79 197 15563 0.015934951952658594
14 79 199 15721 0.015962890000082552
14 83 103 8549 0.033445945009589195
14 83 107 8881 0.03270298399729654
14 83 109 9047 0.032614347990602255
14 83 113 9379 0.016820290009491146
14 83 127 10541 0.015942270983941853
14 83 149 12367 0.032275435980409384
14 83 157 13031 0.0322778100380674
14 83 173 14359 0.03223844099557027
14 83 179 14857 0.011855321004986763
14 83 181 15023 0.01586022402625531
14 83 193 16019 0.015907092951238155
14 89 101 8989 0.015928672975860536
14 89 103 9167 0.032316750031895936
14 89 107 9523 0.015896116034127772
14 89 131 11659 0.032119078969117254
14 89 149 13261 0.03279194899369031
14 89 151 13439 0.03279088600538671
14 89 157 13973 0.03227955300826579
14 89 163 14507 0.032867828966118395
14 97 97 9409 0.03226069803349674
14 97 103 9991 0.03214433102402836
14 97 107 10379 0.03312217502389103
14 97 127 12319 0.0326578970416449
14 97 137 13289 0.033162468986120075
14 97 139 13483 0.0329042180092074
14 97 149 14453 0.015926774009130895
14 97 151 14647 0.03215962601825595
14 97 157 15229 0.03293598798336461
14 97 163 15811 0.0322870229720138
14 101 107 10807 0.03256001800764352
14 101 127 12827 0.032507408992387354
14 101 137 13837 0.032464133051689714
14 101 139 14039 0.015987216029316187
14 101 149 15049 0.016015514032915235
14 103 107 11021 0.033023422001861036
14 103 113 11639 0.03310713398968801
14 103 151 15553 0.033143433975055814
14 103 157 16171 0.01594166597351432
14 107 107 11449 0.032087769999634475
14 107 127 13589 0.033127386996056885
14 107 137 14659 0.03313961997628212
14 109 109 11881 0.03238123597111553
14 109 113 12317 0.03221433999715373
14 109 149 16241 0.016142906970344484
14 113 127 14351 0.015939788019750267
14 113 139 15707 0.01593694504117593
15 67 251 16817 0.032773202983662486
