#bitsize(pq) p q pq std
16 181 199 36019 0.0
16 181 227 41087 0.0
16 181 307 55567 0.0
16 181 347 62807 0.0
16 191 199 38009 0.0
16 191 257 49087 0.0
16 191 269 51379 0.0
16 191 317 60547 0.0
16 191 331 63221 0.0
16 193 211 40723 0.0
16 193 233 44969 0.0
16 193 271 52303 0.0
16 193 281 54233 0.0
16 193 283 54619 0.0
16 193 293 56549 0.0
16 193 311 60023 0.0
16 193 317 61181 0.0
16 197 211 41567 0.0
16 197 269 52993 0.0
16 197 277 54569 0.0
16 199 211 41989 0.0
16 199 229 45571 0.0
16 199 239 47561 0.0
16 199 263 52337 0.0
16 211 227 47897 0.0
16 211 257 54227 0.0
16 211 271 57181 0.0
16 211 293 61823 0.0
16 223 263 58649 0.0
16 227 227 51529 0.0
16 227 233 52891 0.0
16 227 251 56977 0.0
16 229 251 57479 0.0
16 229 257 58853 0.0
16 229 271 62059 0.0
16 233 263 61279 0.0
16 233 281 65473 0.0
16 241 251 60491 0.0
16 241 263 63383 0.0
17 137 487 66719 0.0
17 139 509 70751 0.0
17 149 463 68987 0.0
17 149 509 75841 0.0
17 151 461 69611 0.0
17 151 491 74141 0.0
17 157 419 65783 0.0
17 157 439 68923 0.0
17 157 487 76459 0.0
17 163 421 68623 0.0
17 163 439 71557 0.0
17 163 461 75143 0.0
17 167 439 73313 0.0
17 167 443 73981 0.0
17 173 419 72487 0.0
17 173 449 77677 0.0
17 179 373 66767 0.0
17 179 457 81803 0.0
17 181 367 66427 0.0
17 181 397 71857 0.0
17 181 409 74029 0.0
17 181 487 88147 0.0
17 191 401 76591 0.0
17 191 443 84613 0.0
17 191 503 96073 0.0
17 193 347 66971 0.0
17 193 419 80867 0.0
17 193 503 97079 0.0
17 197 337 66389 0.0
17 197 359 70723 0.0
17 197 439 86483 0.0
17 199 401 79799 0.0
17 199 409 81391 0.0
17 199 463 92137 0.0
17 211 317 66887 0.0
17 211 337 71107 0.0
17 211 347 73217 0.0
17 211 461 97271 0.0
17 211 499 105289 0.0
17 223 353 78719 0.0
17 223 457 101911 0.0
17 223 479 106817 0.0
17 223 499 111277 0.0
17 227 313 71051 0.0
17 227 353 80131 0.0
17 227 359 81493 0.0
17 227 499 113273 0.0
17 229 313 71677 0.0
17 229 397 90913 0.0
17 229 457 104653 0.0
17 233 347 80851 0.0
17 233 397 92501 0.0
17 233 461 107413 0.0
17 239 347 82933 0.0
17 239 421 100619 0.0
17 239 467 111613 0.0
17 241 313 75433 0.0
17 241 337 81217 0.0
17 241 373 89893 0.0
17 241 383 92303 0.0
17 241 463 111583 0.0
17 251 311 78061 0.0
17 251 373 93623 0.0
17 251 401 100651 0.0
17 251 419 105169 0.0
17 251 467 117217 0.0
17 257 317 81469 0.0
17 257 347 89179 0.0
17 257 349 89693 0.0
17 257 359 92263 0.0
17 263 331 87053 0.0
17 263 421 110723 0.0
17 269 311 83659 0.0
17 269 349 93881 0.0
17 269 373 100337 0.0
17 269 463 124547 0.0
17 269 479 128851 0.0
17 269 487 131003 0.0
17 271 379 102709 0.0
17 271 397 107587 0.0
17 277 337 93349 0.0
17 277 409 113293 0.0
17 277 421 116617 0.0
17 281 439 123359 0.0
17 283 283 80089 0.0
17 283 439 124237 0.0
17 283 457 129331 0.0
17 293 293 85849 0.0
17 293 307 89951 0.0
17 293 317 92881 0.0
17 293 373 109289 0.0
17 293 397 116321 0.0
17 293 409 119837 0.0
17 307 317 97319 0.0
17 307 373 114511 0.0
17 307 421 129247 0.0
17 311 389 120979 0.0
17 311 419 130309 0.0
17 331 347 114857 0.0
17 347 367 127349 0.0
18 257 617 158569 0.0
18 257 647 166279 0.0
18 257 809 207913 0.0
18 263 499 131237 0.0
18 263 613 161219 0.0
18 263 619 162797 0.0
18 263 631 165953 0.0
18 269 821 220849 0.0
18 269 967 260123 0.0
18 271 601 162871 0.0
18 271 661 179131 0.0
18 271 829 224659 0.0
18 271 857 232247 0.0
18 271 859 232789 0.0
18 277 547 151519 0.0
18 277 599 165923 0.0
18 277 643 178111 0.0
18 277 719 199163 0.0
18 277 761 210797 0.0
18 277 787 217999 0.0
18 277 811 224647 0.0
18 277 829 229633 0.0
18 277 919 254563 0.0
18 281 523 146963 0.0
18 281 631 177311 0.0
18 281 727 204287 0.0
18 283 691 195553 0.0
18 283 739 209137 0.0
18 283 797 225551 0.0
18 283 827 234041 0.0
18 293 521 152653 0.0
18 293 523 153239 0.0
18 293 593 173749 0.0
18 293 877 256961 0.0
18 307 607 186349 0.0
18 307 653 200471 0.0
18 307 839 257573 0.0
18 307 853 261871 0.0
